;tweetid;inaccurate_or_misleadning;stance;senti;hate
74;1446617346446069767;0;Pro-vaccine;positive;neither
75;1459186705047724041;0;Pro-vaccine;negative;neither
76;1442867869398667264;0;Pro-vaccine;neutral;neither
77;1482540796482134019;0;Pro-vaccine;neutral;neither
78;1456136700254633984;0;Pro-vaccine;positive;neither
79;1470292108380712961;1;Anti-vaccine;negative;neither
80;1481660201233231873;0;Pro-vaccine;negative;neither
81;1484296535944876039;1;Pro-vaccine;negative;neither
82;1456344472938336260;1;Pro-vaccine;negative;offensive_language
83;1449116066844536834;1;Anti-vaccine;negative;hate_speech
84;1474156071493279746;1;Pro-vaccine;neutral;neither
85;1442756660997419016;0;Pro-vaccine;neutral;neither
86;1436101269161132033;1;Pro-vaccine;neutral;neither
87;1468412383815155714;1;Anti-vaccine;negative;offensive_language
88;1468745652310061056;1;Pro-vaccine;negative;neither
89;1445156818775416841;0;Anti-vaccine;neutral;neither
90;1442573521096482817;1;Anti-vaccine;negative;neither
91;1459023514648731651;0;Pro-vaccine;negative;hate_speech
92;1472181842124152835;0;Pro-vaccine;negative;neither
93;1478963117539282945;1;Anti-vaccine;negative;neither
94;1467917257925959690;0;Pro-vaccine;positive;neither
95;1464600036914913280;1;Anti-vaccine;negative;hate_speech
96;1468947501902348295;0;Pro-vaccine;negative;neither
97;1452736687688327169;1;Anti-vaccine;neutral;neither
98;1445136146074423314;0;Pro-vaccine;positive;neither
99;1436384939113582596;0;Pro-vaccine;positive;neither
100;1459035679128952833;0;Pro-vaccine;neutral;neither
101;1472752728615051264;0;Unsure about the vaccine;negative;neither
102;1466094036494651393;0;Pro-vaccine;positive;neither
103;1438635027105976327;1;Anti-vaccine;negative;neither
104;1453019474911797250;1;Pro-vaccine;negative;neither
105;1452541995331641344;1;Pro-vaccine;positive;neither
106;1479502740900302849;1;Anti-vaccine;positive;neither
107;1458604911697006595;1;Anti-vaccine;positive;neither
108;1479563159358697473;1;Anti-vaccine;positive;neither
109;1445794109784924162;0;Pro-vaccine;positive;neither
110;1450521449240932357;0;Pro-vaccine;positive;neither
111;1449947233441386496;1;Anti-vaccine;negative;hate_speech
112;1453504879054491653;0;Unsure about the vaccine;positive;neither
113;1446688465140207620;0;Anti-vaccine;negative;neither
114;1442591246149586948;1;Pro-vaccine;negative;offensive_language
115;1449602441175986179;0;Pro-vaccine;negative;neither
116;1469315232946348042;0;Pro-vaccine;positive;neither
117;1477687005056155654;1;Pro-vaccine;positive;offensive_language
118;1473347708031320067;0;Pro-vaccine;positive;neither
119;1436779088920842240;0;Pro-vaccine;negative;neither
120;1477039746727751681;1;Anti-vaccine;negative;neither
121;1456270196407033862;0;Pro-vaccine;neutral;neither
122;1479620038831267843;0;Pro-vaccine;neutral;neither
123;1473406310867943424;0;Pro-vaccine;negative;neither
124;1472606615610314755;0;Pro-vaccine;positive;neither
125;1466065347300184067;0;Pro-vaccine;positive;neither
126;1455224177426845697;0;Pro-vaccine;negative;offensive_language
127;1467166252821008392;1;Anti-vaccine;positive;neither
128;1472329829450190851;1;Unsure about the vaccine;negative;neither
129;1449606714941067267;0;Anti-vaccine;negative;neither
130;1479638689059782658;1;Anti-vaccine;negative;neither
131;1476066751985201154;1;Anti-vaccine;neutral;offensive_language
132;1474782621733462016;0;Pro-vaccine;positive;neither
133;1473931971495612418;0;Anti-vaccine;neutral;offensive_language
134;1474921267778269188;1;Anti-vaccine;negative;neither
135;1478462611784093701;1;Pro-vaccine;negative;neither
136;1478034705010282496;1;Anti-vaccine;positive;neither
137;1441498648953516032;0;Pro-vaccine;negative;offensive_language
138;1469142368582569984;0;Anti-vaccine;negative;offensive_language
139;1454186092798808067;1;Anti-vaccine;negative;offensive_language
140;1441730922684960770;0;Pro-vaccine;neutral;neither
141;1470480792287645701;0;Pro-vaccine;positive;neither
142;1457409180722151427;0;Pro-vaccine;positive;neither
143;1451649386413535245;0;Unsure about the vaccine;neutral;neither
144;1477299055923535876;0;Pro-vaccine;negative;neither
145;1458577827708739584;0;Unsure about the vaccine;neutral;neither
146;1467795552846987270;0;Pro-vaccine;positive;neither
147;1470554229756604417;1;Pro-vaccine;neutral;neither
148;1455738504156176384;0;Pro-vaccine;positive;neither
149;1467706442866216966;1;Pro-vaccine;neutral;offensive_language
150;1482810343671828480;0;Pro-vaccine;neutral;neither
151;1482290244414107649;0;Pro-vaccine;negative;neither
152;1470003722008903685;0;Pro-vaccine;positive;neither
153;1450105057244975110;0;Pro-vaccine;negative;neither
154;1482100187686449157;0;Anti-vaccine;positive;neither
155;1480859976826597376;1;Unsure about the vaccine;negative;neither
156;1468057503476842498;1;Anti-vaccine;negative;neither
157;1480883682768470021;1;Unsure about the vaccine;negative;neither
158;1441261250629947392;0;Pro-vaccine;positive;neither
159;1465712331761983491;0;Pro-vaccine;neutral;neither
160;1458863073847095306;1;Anti-vaccine;neutral;offensive_language
161;1475659297316999168;1;Anti-vaccine;neutral;neither
162;1467701652262043656;1;Anti-vaccine;positive;neither
163;1476006229243830276;0;Pro-vaccine;neutral;neither
164;1470718982588145666;0;Pro-vaccine;positive;offensive_language
165;1481114537797746692;1;Anti-vaccine;negative;neither
166;1473965760036888603;0;Unsure about the vaccine;negative;neither
167;1452243067394723850;1;Anti-vaccine;neutral;neither
168;1450407080045731843;0;Pro-vaccine;negative;neither
169;1460940268836900869;0;Anti-vaccine;negative;neither
170;1477614370674950150;1;Anti-vaccine;positive;neither
171;1437563790283976706;0;Anti-vaccine;positive;neither
172;1437555321422057474;1;Anti-vaccine;positive;neither
173;1480641011084845058;0;Pro-vaccine;negative;neither
174;1441465738154311687;0;Pro-vaccine;positive;neither
175;1456113019621052416;1;Anti-vaccine;positive;neither
176;1477275615216775172;1;Anti-vaccine;positive;neither
177;1445974736006156290;1;Anti-vaccine;negative;offensive_language
178;1481296850443460622;0;Pro-vaccine;neutral;neither
179;1461045011752136713;1;Anti-vaccine;positive;offensive_language
180;1441391673381109761;0;Pro-vaccine;positive;neither
181;1481684949694664708;0;Pro-vaccine;negative;neither
182;1436051160453029890;1;Anti-vaccine;positive;neither
183;1436693711111565317;0;Unsure about the vaccine;neutral;neither
184;1440396564552314885;0;Unsure about the vaccine;negative;neither
185;1461983172460113923;1;Anti-vaccine;negative;hate_speech
186;1447579066022961155;1;Anti-vaccine;negative;neither
187;1446746915450888196;0;Pro-vaccine;negative;neither
188;1453902529050316801;0;Unsure about the vaccine;neutral;neither
189;1448564082047475716;0;Pro-vaccine;positive;neither
190;1446405691938381824;1;Anti-vaccine;negative;neither
191;1451264738676154377;0;Pro-vaccine;positive;neither
192;1442465478841028615;0;Pro-vaccine;positive;neither
193;1464357041879883791;0;Pro-vaccine;positive;neither
194;1450657703660040194;0;Pro-vaccine;negative;neither
195;1441365737063419913;1;Anti-vaccine;positive;neither
196;1438532933342711816;0;Unsure about the vaccine;negative;hate_speech
197;1441446217389510664;0;Pro-vaccine;neutral;neither
198;1450115546196946945;0;Pro-vaccine;negative;offensive_language
199;1482254658815291396;0;Pro-vaccine;positive;neither
200;1472420190918889474;1;Anti-vaccine;neutral;offensive_language
201;1480314265655336967;1;Anti-vaccine;positive;hate_speech
202;1478930231205548036;0;Pro-vaccine;positive;neither
203;1483484720218398723;1;Anti-vaccine;neutral;neither
204;1444984300663832577;1;Unsure about the vaccine;negative;offensive_language
205;1449114932977537030;0;Pro-vaccine;negative;neither
206;1484975906636636162;1;Anti-vaccine;neutral;offensive_language
207;1509675397134303236;1;Anti-vaccine;negative;neither
208;1445694611209351187;0;Pro-vaccine;negative;neither
209;1461050569745911813;1;Anti-vaccine;negative;neither
210;1461807286435864583;0;Pro-vaccine;negative;neither
211;1441093608178741258;0;Pro-vaccine;negative;offensive_language
212;1437466709141635072;1;Anti-vaccine;positive;neither
213;1439254391572205574;0;Pro-vaccine;negative;neither
214;1502809826061029377;0;Pro-vaccine;positive;neither
215;1478006769666478083;1;Anti-vaccine;positive;offensive_language
216;1453167682761723907;0;Pro-vaccine;negative;offensive_language
217;1440487777447989250;0;Pro-vaccine;negative;neither
218;1449076675371749381;0;Pro-vaccine;positive;neither
219;1447623788783362049;0;Pro-vaccine;positive;neither
220;1452867869188898818;0;Pro-vaccine;neutral;neither
221;1477364470406008836;0;Pro-vaccine;negative;neither
222;1465792143646150662;0;Pro-vaccine;positive;offensive_language
223;1507606348091080707;0;Pro-vaccine;neutral;neither
224;1467494265194491908;0;Unsure about the vaccine;positive;offensive_language
225;1450681370196553728;1;Anti-vaccine;negative;offensive_language
226;1437467610250153987;1;Anti-vaccine;positive;offensive_language
227;1445236266790961154;1;Anti-vaccine;negative;neither
228;1437968348659298310;0;Pro-vaccine;negative;hate_speech
229;1477021927248207881;0;Pro-vaccine;neutral;neither
230;1477049941201670147;1;Anti-vaccine;negative;offensive_language
231;1435765947143495686;0;Pro-vaccine;positive;neither
232;1474247150477455364;1;Anti-vaccine;negative;neither
233;1449104970142396420;1;Anti-vaccine;positive;neither
234;1483032530123173888;1;Anti-vaccine;negative;neither
235;1453017655485554698;0;Anti-vaccine;positive;neither
236;1448861294132555777;1;Pro-vaccine;positive;neither
237;1447314546725515269;0;Pro-vaccine;negative;neither
238;1471585778832601092;0;Unsure about the vaccine;neutral;neither
239;1444629012396056582;0;Anti-vaccine;neutral;neither
240;1462926304387289091;1;Anti-vaccine;positive;neither
241;1463254699855859712;1;Anti-vaccine;negative;neither
242;1460937861033869313;1;Anti-vaccine;negative;neither
243;1478144749345206275;0;Anti-vaccine;negative;neither
244;1473897747690536967;1;Anti-vaccine;positive;offensive_language
245;1482909781962952705;0;Unsure about the vaccine;negative;neither
246;1440296720001241103;0;Anti-vaccine;neutral;offensive_language
247;1455703352323489792;0;Pro-vaccine;positive;neither
248;1454263059711680521;1;Anti-vaccine;neutral;neither
249;1436508473408229377;0;Pro-vaccine;neutral;neither
250;1445521647377715200;1;Anti-vaccine;neutral;offensive_language
251;1501400152132624389;1;Anti-vaccine;neutral;offensive_language
252;1489735713146818560;0;Pro-vaccine;positive;neither
253;1463723687908155393;0;Unsure about the vaccine;positive;neither
254;1437877664686161931;1;Anti-vaccine;positive;neither
255;1445185932664082432;0;Pro-vaccine;positive;neither
256;1454015793935667202;1;Anti-vaccine;negative;neither
257;1464462114341285897;1;Anti-vaccine;positive;neither
258;1464464569540112389;0;Anti-vaccine;negative;neither
259;1459861044172660737;0;Pro-vaccine;positive;neither
260;1465806689840427015;1;Anti-vaccine;negative;offensive_language
261;1479167942549983233;0;Unsure about the vaccine;negative;neither
262;1460793689836376064;0;Pro-vaccine;positive;offensive_language
263;1445581984214835200;0;Pro-vaccine;neutral;offensive_language
264;1451656631012450316;1;Anti-vaccine;neutral;neither
265;1474226262851784708;1;Anti-vaccine;negative;neither
266;1478493226138935298;0;Pro-vaccine;neutral;neither
267;1457824703096184837;0;Pro-vaccine;neutral;neither
268;1478474585368576001;0;Pro-vaccine;neutral;neither
269;1466318611115651082;1;Anti-vaccine;negative;neither
270;1459715746829946885;0;Pro-vaccine;negative;neither
271;1451702762224463877;1;Anti-vaccine;negative;hate_speech
272;1451937143585222658;0;Pro-vaccine;neutral;neither
273;1443792937167593477;1;Anti-vaccine;negative;neither
274;1478550672777822212;0;Pro-vaccine;neutral;neither
275;1458942610329022464;1;Anti-vaccine;negative;neither
276;1469000848076414976;1;Anti-vaccine;positive;neither
277;1460701080162082824;0;Pro-vaccine;positive;hate_speech
278;1437756128356614152;1;Anti-vaccine;neutral;offensive_language
279;1451041940087128064;1;Anti-vaccine;negative;neither
280;1478518135196196867;0;Pro-vaccine;positive;neither
281;1461726545760997381;1;Anti-vaccine;neutral;neither
282;1449963384208719873;1;Unsure about the vaccine;negative;neither
283;1471325998255853573;0;Unsure about the vaccine;negative;neither
284;1468691595436466180;1;Anti-vaccine;neutral;offensive_language
285;1485808713667469314;0;Pro-vaccine;positive;neither
286;1465206376544702464;1;Anti-vaccine;neutral;neither
287;1469931194628329473;1;Anti-vaccine;positive;neither
288;1452736687826669568;0;Pro-vaccine;neutral;offensive_language
289;1450119708104003584;0;Unsure about the vaccine;neutral;neither
290;1447362925946146818;0;Unsure about the vaccine;neutral;offensive_language
291;1483781421521059843;0;Pro-vaccine;positive;neither
292;1469984405183766531;1;Anti-vaccine;negative;offensive_language
293;1479067065621307395;1;Anti-vaccine;neutral;neither
294;1437521847613001729;0;Pro-vaccine;positive;offensive_language
295;1463891411246407683;1;Unsure about the vaccine;positive;neither
296;1449390997612503041;0;Anti-vaccine;negative;neither
297;1444136519183314946;1;Anti-vaccine;negative;offensive_language
298;1467582600361525251;0;Pro-vaccine;neutral;offensive_language
299;1449133685538623495;0;Pro-vaccine;positive;neither
300;1460850241591300097;1;Unsure about the vaccine;positive;neither
301;1470730596922101771;0;Pro-vaccine;negative;offensive_language
302;1481138006555725828;1;Anti-vaccine;positive;offensive_language
303;1455880562175057928;0;Pro-vaccine;positive;neither
304;1473495297577963521;1;Pro-vaccine;positive;neither
305;1470817979659169795;1;Anti-vaccine;neutral;offensive_language
306;1444653547799318531;0;Pro-vaccine;negative;neither
307;1436430199726481410;1;Anti-vaccine;neutral;neither
308;1459260382720274432;1;Anti-vaccine;negative;offensive_language
309;1470731888683855878;0;Pro-vaccine;positive;neither
310;1478515561088700416;0;Pro-vaccine;neutral;neither
311;1456215715061514247;0;Pro-vaccine;neutral;neither
312;1469956429553405954;1;Anti-vaccine;positive;neither
313;1443742534958780424;0;Pro-vaccine;positive;neither
314;1450146847406833666;1;Anti-vaccine;positive;neither
315;1453277960195223565;0;Pro-vaccine;positive;neither
316;1483739368431001600;1;Anti-vaccine;positive;neither
317;1437026705525260289;0;Pro-vaccine;negative;neither
318;1482918178837704705;1;Anti-vaccine;positive;neither
319;1444492934427004929;1;Anti-vaccine;negative;neither
320;1452334417171595271;0;Pro-vaccine;positive;offensive_language
321;1442919895029600257;0;Pro-vaccine;negative;neither
322;1456348586116059139;0;Unsure about the vaccine;neutral;neither
323;1438556217136320519;1;Anti-vaccine;neutral;neither
324;1464661900407443457;0;Pro-vaccine;positive;neither
325;1457342174815821829;0;Pro-vaccine;positive;neither
326;1446957056091623425;1;Anti-vaccine;neutral;neither
327;1473067624510771200;0;Unsure about the vaccine;neutral;neither
328;1453656036393435137;0;Pro-vaccine;positive;neither
329;1437681301969121280;0;Pro-vaccine;positive;hate_speech
330;1479766344111435779;1;Anti-vaccine;neutral;neither
331;1453497216908152836;0;Pro-vaccine;positive;neither
332;1484672648999501824;0;Pro-vaccine;negative;neither
333;1456118490193088513;1;Anti-vaccine;negative;neither
334;1442976302923874305;1;Pro-vaccine;negative;neither
335;1507372166513250308;0;Pro-vaccine;neutral;neither
336;1484996668911194112;1;Pro-vaccine;positive;neither
337;1460187523116900354;0;Pro-vaccine;neutral;neither
338;1457775772433666061;1;Anti-vaccine;positive;neither
339;1499040732472135685;1;Anti-vaccine;negative;neither
340;1445412283937591307;0;Unsure about the vaccine;positive;neither
341;1498072970811559939;0;Unsure about the vaccine;neutral;neither
342;1463411832195059715;0;Pro-vaccine;positive;neither
343;1451876257046544388;0;Pro-vaccine;positive;offensive_language
344;1465103680839905281;1;Anti-vaccine;positive;neither
345;1458951387056943105;1;Pro-vaccine;positive;neither
346;1459258873186037763;0;Pro-vaccine;positive;neither
347;1442408938943565831;0;Pro-vaccine;negative;neither
348;1446316774207762433;0;Pro-vaccine;negative;neither
349;1481820419061477376;1;Anti-vaccine;negative;neither
350;1495837247861624839;1;Anti-vaccine;positive;neither
351;1486424137715392516;1;Anti-vaccine;neutral;neither
352;1463250398748327941;1;Anti-vaccine;positive;neither
353;1507446775338213386;0;Anti-vaccine;neutral;neither
354;1478005074152419328;0;Pro-vaccine;positive;neither
355;1491228229583048704;1;Anti-vaccine;positive;offensive_language
356;1485134598157840384;0;Pro-vaccine;negative;offensive_language
357;1473706706358124547;0;Unsure about the vaccine;neutral;neither
358;1459715743428325379;0;Pro-vaccine;negative;hate_speech
359;1471361747520942081;0;Pro-vaccine;negative;neither
360;1499894743274303491;1;Anti-vaccine;positive;neither
361;1463992104699506693;0;Pro-vaccine;neutral;neither
362;1470851025858928642;0;Anti-vaccine;positive;neither
363;1475252989707362309;0;Unsure about the vaccine;negative;neither
364;1462341400784216068;0;Pro-vaccine;negative;neither
365;1476919091214503946;0;Pro-vaccine;positive;neither
366;1472326284487364609;1;Pro-vaccine;negative;neither
367;1497763086614208513;1;Anti-vaccine;neutral;neither
368;1499476489976401928;1;Anti-vaccine;negative;neither
369;1478104196310257667;1;Anti-vaccine;positive;neither
370;1445872169913888770;0;Pro-vaccine;negative;neither
371;1468748363432701953;1;Anti-vaccine;negative;hate_speech
372;1437991328437051392;0;Unsure about the vaccine;positive;neither
373;1509533531449421832;1;Anti-vaccine;negative;offensive_language
374;1508835434033557507;0;Unsure about the vaccine;neutral;neither
375;1443187423794634756;0;Anti-vaccine;negative;neither
376;1482683957443534853;0;Unsure about the vaccine;positive;neither
377;1465849549847613440;1;Unsure about the vaccine;neutral;neither
378;1474429725867184150;1;Anti-vaccine;neutral;neither
379;1469559413090525185;1;Anti-vaccine;positive;offensive_language
380;1469607623293030402;0;Pro-vaccine;positive;neither
381;1487982865753247749;0;Unsure about the vaccine;positive;neither
382;1453606667103334402;0;Pro-vaccine;neutral;neither
383;1481383826119139328;0;Pro-vaccine;negative;neither
384;1435848390663835648;1;Anti-vaccine;negative;neither
385;1487270733667618821;1;Anti-vaccine;positive;neither
386;1474110316040663044;0;Pro-vaccine;positive;hate_speech
387;1504634725301956609;1;Anti-vaccine;neutral;neither
388;1479206116836134914;0;Anti-vaccine;negative;neither
389;1472897602790301705;1;Anti-vaccine;negative;neither
390;1488843422471491585;0;Pro-vaccine;negative;neither
391;1474835861774684168;0;Unsure about the vaccine;negative;offensive_language
392;1474158386484637696;0;Pro-vaccine;negative;offensive_language
393;1467941779504877572;0;Unsure about the vaccine;negative;offensive_language
394;1458311232209899522;1;Anti-vaccine;negative;neither
395;1487463402679246852;1;Anti-vaccine;negative;neither
396;1484106823980314626;0;Unsure about the vaccine;positive;neither
397;1494241591871131652;1;Anti-vaccine;neutral;neither
398;1506542956085399553;1;Anti-vaccine;neutral;neither
399;1500468318527971329;0;Unsure about the vaccine;negative;neither
400;1473476955722952708;0;Pro-vaccine;negative;neither
401;1463222448422219777;1;Unsure about the vaccine;negative;neither
402;1454953962365341704;0;Unsure about the vaccine;neutral;offensive_language
403;1501892622717124615;1;Anti-vaccine;positive;neither
404;1452602897947103246;0;Pro-vaccine;negative;neither
405;1492842358739640324;1;Pro-vaccine;positive;neither
406;1486345523678244867;0;Pro-vaccine;positive;offensive_language
407;1483530656374312966;0;Pro-vaccine;negative;hate_speech
408;1454803531727245313;0;Unsure about the vaccine;negative;offensive_language
409;1447757110364737536;0;Anti-vaccine;negative;offensive_language
410;1440797858836332549;0;Pro-vaccine;neutral;neither
411;1460896976090939394;1;Anti-vaccine;positive;offensive_language
412;1502484072848838661;0;Pro-vaccine;negative;offensive_language
413;1445061464386117633;0;Unsure about the vaccine;negative;offensive_language
414;1490877242146435072;0;Unsure about the vaccine;neutral;neither
415;1491269598918098944;1;Anti-vaccine;positive;offensive_language
416;1442338959355367428;1;Anti-vaccine;positive;neither
417;1443050441869234177;1;Anti-vaccine;positive;neither
418;1449345412213743621;0;Pro-vaccine;neutral;neither
419;1456057294802804741;0;Pro-vaccine;positive;neither
420;1444744933169111048;1;Anti-vaccine;positive;neither
421;1462881261924536323;1;Anti-vaccine;neutral;offensive_language
422;1495514718085296132;1;Anti-vaccine;negative;neither
423;1501121554914193408;0;Pro-vaccine;neutral;neither
424;1500046304411627526;1;Unsure about the vaccine;positive;neither
425;1468041973152063488;1;Anti-vaccine;neutral;neither
426;1460073642440675333;0;Anti-vaccine;negative;neither
427;1464309930496708613;1;Anti-vaccine;positive;neither
428;1499906717970153472;1;Anti-vaccine;negative;neither
429;1484277729705213953;0;Anti-vaccine;negative;neither
430;1503224320151076866;1;Pro-vaccine;negative;neither
431;1455304213752385539;0;Pro-vaccine;neutral;neither
432;1464884234879860738;0;Anti-vaccine;neutral;offensive_language
433;1490490164161953794;0;Pro-vaccine;negative;neither
434;1481796654210576384;0;Unsure about the vaccine;positive;hate_speech
435;1467723921688788993;0;Pro-vaccine;negative;offensive_language
436;1449231526361583619;0;Pro-vaccine;negative;neither
437;1485805751826149376;1;Anti-vaccine;negative;neither
438;1462791013785821189;0;Pro-vaccine;negative;neither
439;1458663410632204288;1;Unsure about the vaccine;neutral;neither
440;1472646276734935047;0;Pro-vaccine;negative;neither
441;1471604163482112015;0;Pro-vaccine;negative;neither
442;1493718015762137088;1;Anti-vaccine;negative;neither
443;1475346033290981380;0;Anti-vaccine;negative;offensive_language
444;1438286271911243779;0;Pro-vaccine;negative;offensive_language
445;1448921944770813955;0;Pro-vaccine;negative;neither
446;1506741808910385155;0;Pro-vaccine;neutral;neither
447;1454344770046865408;1;Anti-vaccine;negative;neither
448;1443331681776246785;1;Anti-vaccine;positive;neither
449;1483048239029014529;0;Pro-vaccine;positive;neither
450;1442229733274488839;0;Unsure about the vaccine;positive;neither
451;1454160581376806914;1;Unsure about the vaccine;positive;neither
452;1437152891135926273;0;Pro-vaccine;negative;neither
453;1436824650781179905;1;Anti-vaccine;positive;neither
454;1497764374068355077;0;Anti-vaccine;neutral;neither
455;1437596576545787904;0;Unsure about the vaccine;positive;offensive_language
456;1494388978371350543;1;Anti-vaccine;positive;neither
457;1480191638265860098;0;Unsure about the vaccine;negative;neither
458;1470763486527594505;0;Unsure about the vaccine;positive;neither
459;1452664671182409737;0;Unsure about the vaccine;neutral;neither
460;1505755076165472258;1;Anti-vaccine;negative;neither
461;1441767212079935494;0;Pro-vaccine;negative;offensive_language
462;1479666063759532033;0;Pro-vaccine;negative;offensive_language
463;1460821240524980226;0;Unsure about the vaccine;neutral;neither
464;1507820710563127297;1;Anti-vaccine;neutral;neither
465;1509050349625253890;1;Anti-vaccine;positive;neither
466;1491115400515694592;1;Anti-vaccine;positive;offensive_language
467;1459096793594142722;0;Unsure about the vaccine;neutral;neither
468;1453486273616760836;1;Anti-vaccine;negative;neither
469;1455697146749939712;1;Anti-vaccine;positive;offensive_language
470;1479587657177047045;0;Pro-vaccine;positive;neither
471;1463982633134825478;0;Unsure about the vaccine;negative;neither
472;1435804723072815109;0;Unsure about the vaccine;neutral;offensive_language
473;1447938802157248517;1;Anti-vaccine;negative;neither
474;1486645703715741700;0;Pro-vaccine;positive;offensive_language
475;1507409524948406281;1;Anti-vaccine;negative;offensive_language
476;1468416040317042688;0;Pro-vaccine;positive;neither
477;1469930874120646658;0;Anti-vaccine;negative;hate_speech
478;1490704594984443913;1;Anti-vaccine;neutral;offensive_language
479;1506824453015191558;0;Pro-vaccine;negative;neither
480;1441851671173160967;0;Unsure about the vaccine;negative;neither
481;1495045279413846021;1;Anti-vaccine;negative;neither
482;1504465093181931525;0;Pro-vaccine;positive;offensive_language
483;1480639614264262660;0;Pro-vaccine;positive;neither
484;1483180109020475395;1;Anti-vaccine;positive;neither
485;1447595799504830466;1;Anti-vaccine;neutral;neither
486;1471945581404864526;1;Anti-vaccine;positive;neither
487;1439801854343319557;0;Pro-vaccine;negative;neither
488;1443883117610156032;1;Anti-vaccine;neutral;hate_speech
489;1500047866286555137;1;Anti-vaccine;positive;offensive_language
490;1461324043341246473;0;Pro-vaccine;positive;hate_speech
491;1466929312481923077;0;Pro-vaccine;neutral;neither
492;1484194035296313351;0;Pro-vaccine;negative;neither
493;1457217715228188673;0;Pro-vaccine;positive;offensive_language
