;tweetid;mid;stance;senti;hate
135;1250169435383611398;68;favor;positive;neither
136;1248607386442629120;68;favor;positive;neither
137;1249705362367930368;68;favor;positive;neither
138;1248745629431496704;68;against;positive;neither
139;1248309727827763200;68;neither;positive;neither
140;1325338408957390848;68;favor;positive;offensive_language
141;1248644087302914048;68;neither;negative;neither
142;1248751262365073409;68;against;negative;neither
143;1248295934150270984;68;favor;negative;neither
144;1248706935161004036;68;favor;positive;neither
145;1248346333397880832;68;favor;positive;neither
146;1247924100355497986;68;favor;positive;neither
147;1248282674051022848;68;favor;negative;offensive_language
148;1247900076040531970;68;favor;neutral;neither
149;1248726920981893120;68;favor;positive;offensive_language
150;1248114981045817344;68;favor;positive;neither
151;1248293827091337222;68;neither;positive;neither
152;1293198086257270784;69;neither;negative;neither
153;1356414381450555394;69;favor;neutral;neither
154;1250476434704957444;69;against;positive;neither
155;1256431619809968128;69;against;neutral;offensive_language
156;1329069170575765507;69;favor;positive;offensive_language
157;1263096421768736769;69;favor;positive;neither
158;1330484277813899265;69;neither;negative;neither
159;1286601642385833984;69;against;neutral;neither
160;1336773961288441866;69;against;negative;neither
161;1253624155834023936;69;neither;positive;neither
162;1250521341016637440;69;favor;negative;neither
163;1250213119919620097;69;favor;negative;offensive_language
164;1310220863728496640;69;favor;negative;hate_speech
165;1260176920760725504;69;neither;positive;neither
166;1309302033657155584;69;against;negative;neither
167;1250399466793787392;69;against;positive;offensive_language
168;1248638078908018688;72;neither;negative;neither
169;1251446775967363073;72;favor;negative;hate_speech
170;1251639594761752576;72;against;neutral;neither
171;1246815253591138305;72;favor;negative;neither
172;1252254161728688129;72;against;negative;offensive_language
173;1249860035041202176;72;against;negative;neither
174;1248753467532947458;72;against;neutral;neither
175;1303849681789698048;72;against;neutral;neither
176;1248709755297816577;72;favor;negative;neither
177;1249833201566126087;72;favor;negative;neither
178;1248556230915866625;72;favor;negative;neither
179;1249326925446885377;72;against;negative;neither
180;1249185344010010624;72;against;negative;neither
181;1262344354875600897;72;against;negative;neither
182;1248673063534645248;72;favor;negative;hate_speech
183;1248541923494842368;72;favor;negative;neither
184;1250294089116835842;72;favor;negative;neither
185;1257010834758414336;72;against;negative;neither
186;1282780194839945223;80;favor;negative;neither
187;1254847854327316481;80;neither;positive;neither
188;1248253338782752772;80;against;negative;neither
189;1248003474983227392;80;against;negative;neither
190;1259753847549038592;80;favor;positive;neither
191;1255963681831124992;80;favor;neutral;neither
192;1250489497298579463;80;favor;negative;neither
193;1248076959856328705;80;against;negative;neither
194;1248002031463403521;80;against;negative;neither
195;1247889824737968128;80;favor;negative;offensive_language
196;1250842298738409473;80;favor;negative;neither
197;1264344970795855877;80;favor;negative;hate_speech
198;1260243409022918657;80;favor;negative;neither
199;1249033389371465728;80;favor;neutral;neither
200;1247998003064995847;80;against;negative;neither
201;1249332186580467715;80;favor;negative;neither
202;1250606724026900486;80;favor;negative;hate_speech
203;1247999467548180482;80;against;negative;neither
204;1247279206091743232;84;favor;negative;neither
205;1247314443685396480;84;favor;negative;neither
206;1249721744572719105;84;against;negative;neither
207;1247500877117743104;84;favor;positive;neither
208;1249220123388342275;84;against;neutral;neither
209;1304911506069307392;84;against;negative;neither
210;1309701718867873792;84;favor;negative;neither
211;1249982515449933827;84;favor;negative;neither
212;1250519460890451969;84;against;negative;neither
213;1249467460979273729;84;against;negative;hate_speech
214;1247465378768396289;84;favor;positive;neither
215;1249157410448715776;84;favor;positive;neither
216;1296629195930349568;84;favor;positive;neither
217;1247612712642842624;84;favor;negative;hate_speech
218;1348066893861629955;84;favor;neutral;neither
219;1247578581766561792;84;favor;negative;hate_speech
220;1247930547281821698;84;favor;neutral;neither
221;1247363369465794563;84;favor;positive;neither
222;1249366095796088832;84;favor;negative;neither
223;1247848165744705542;84;favor;neutral;neither
224;1321463315466350593;84;favor;negative;neither
225;1247141091297681409;99;against;positive;offensive_language
226;1246959243938254848;99;against;negative;offensive_language
227;1246974570076110848;99;favor;positive;offensive_language
228;1246945104813670400;99;favor;neutral;neither
229;1246958982864015360;99;favor;positive;neither
230;1246946714973601799;99;against;neutral;offensive_language
231;1283668579137646592;99;against;negative;hate_speech
232;1246952359265271808;99;against;positive;offensive_language
233;1246936898276335617;99;against;positive;offensive_language
234;1246850039932043264;99;favor;negative;offensive_language
235;1246962169410916353;99;against;positive;neither
236;1281643683620646912;99;against;neutral;offensive_language
237;1246960268304953344;99;favor;neutral;hate_speech
238;1262357249017761793;99;against;neutral;offensive_language
239;1271960124379164673;99;against;positive;neither
240;1247197366958030850;99;against;negative;offensive_language
241;1246949223100223490;99;favor;neutral;offensive_language
242;1247342724988182530;99;favor;neutral;offensive_language
243;1260973383858053121;109;against;positive;offensive_language
244;1283742883259076608;109;favor;negative;neither
245;1300817220847767552;109;against;negative;neither
246;1251846143333617666;109;favor;negative;neither
247;1263099674304512006;109;favor;negative;neither
248;1257625107176009728;109;favor;positive;neither
249;1345835823099478020;109;against;negative;neither
250;1336215578906865665;109;against;positive;neither
251;1322523774630170624;109;favor;negative;neither
252;1246831593018228741;109;against;negative;neither
253;1365104974779228169;109;neither;negative;neither
254;1322775762085289984;109;favor;negative;neither
255;1282862035706011648;110;favor;neutral;neither
256;1296446123993956353;110;against;negative;neither
257;1247026769607221250;110;favor;positive;neither
258;1253402175604170753;110;against;positive;neither
259;1249939114964680716;110;against;positive;neither
260;1246983241959198720;110;against;positive;neither
261;1250082646958407680;110;against;positive;hate_speech
262;1250751441045786625;110;against;neutral;neither
263;1262807110993264642;110;against;negative;neither
264;1313052245143953408;110;against;positive;neither
265;1262515010863091713;110;neither;positive;neither
266;1300890453227655168;110;favor;positive;neither
267;1262885596810235904;110;neither;positive;neither
268;1335320060122910720;110;favor;positive;neither
269;1249807943278739456;110;against;negative;neither
270;1288259195100450818;110;against;positive;offensive_language
271;1312585663162789891;110;against;positive;neither
272;1249681649429856256;110;against;negative;neither
273;1249833648427339781;110;against;negative;offensive_language
274;1254957839023513600;110;against;negative;hate_speech
275;1288458788786376706;110;against;negative;neither
276;1262586013525831680;110;against;neutral;neither
277;1249983363017924609;110;against;positive;neither
278;1252937455914962947;110;against;positive;neither
279;1249785896322269184;110;against;positive;neither
280;1264892211247886338;110;against;negative;neither
281;1245563706861371392;115;favor;negative;neither
282;1254467382032109573;115;favor;negative;neither
283;1250073362388463618;115;against;negative;neither
284;1249426235081592834;115;favor;negative;neither
285;1252139464702427136;115;against;positive;neither
286;1249339797686095872;115;favor;negative;neither
287;1254264802072915969;115;against;neutral;neither
288;1249766452871057408;115;favor;negative;neither
289;1255065128497811457;115;against;neutral;neither
290;1249643035857747968;115;favor;negative;neither
291;1250314552249470981;115;against;negative;hate_speech
292;1249824726958161921;115;against;positive;neither
293;1247243480574734338;115;favor;negative;neither
294;1255388465241436160;115;against;negative;offensive_language
295;1243584722254458880;115;favor;negative;neither
296;1249743504198295554;115;favor;negative;neither
297;1251111220993818627;115;favor;neutral;neither
298;1249769080271372288;115;favor;negative;neither
299;1250510614763462656;115;favor;positive;neither
300;1249968065896300550;115;favor;negative;neither
301;1250314017316286465;115;against;negative;neither
302;1249692628360323072;115;favor;negative;neither
303;1250107187072032776;115;favor;negative;neither
304;1250840299296837634;115;favor;negative;neither
305;1254277429083779072;115;against;neutral;neither
306;1246173611565645824;125;favor;neutral;neither
307;1246175598130671618;125;favor;positive;neither
308;1246176408365342720;125;favor;neutral;offensive_language
309;1269832009540648961;125;against;negative;offensive_language
310;1247727365310107648;125;against;negative;neither
311;1248688858436456450;125;against;negative;neither
312;1246196501476331520;125;favor;neutral;neither
313;1293723951516925953;125;favor;positive;neither
314;1248245960578228230;125;against;negative;neither
315;1280522444021755904;125;favor;positive;offensive_language
316;1334896052403462146;125;favor;neutral;neither
317;1247878108935376898;125;against;negative;neither
318;1246172743009214466;125;favor;positive;neither
319;1247586346442477568;125;favor;positive;neither
320;1247652298458673152;125;favor;positive;neither
321;1246514159983960069;125;favor;positive;neither
322;1249405925909135362;159;against;negative;neither
323;1247560717881901057;159;neither;negative;neither
324;1248245413330604039;159;against;negative;hate_speech
325;1247467905970659334;159;against;negative;neither
326;1245848809026080770;159;neither;neutral;neither
327;1247300637664174080;159;against;negative;neither
328;1247378106152710145;159;against;negative;neither
329;1247364339167719424;159;against;positive;neither
330;1247866791797325824;159;against;positive;neither
331;1247308094461235200;159;against;negative;neither
332;1245487091804340226;159;neither;positive;neither
333;1247729851290681344;159;against;negative;neither
334;1247519118741442560;159;against;neutral;neither
335;1245883914402529285;159;against;positive;neither
336;1245941554965086209;159;against;positive;neither
337;1246231438602702848;159;against;negative;offensive_language
338;1245824899488174080;159;neither;neutral;neither
339;1249046557959131136;159;against;neutral;neither
340;1255171387456659464;159;against;positive;neither
341;1245008791906799616;183;neither;negative;hate_speech
342;1246904658389544960;183;favor;positive;offensive_language
343;1247676570631909383;183;against;negative;neither
344;1256030209712758786;183;neither;negative;hate_speech
345;1247002477158961153;183;against;negative;neither
346;1255527422646198275;183;favor;positive;neither
347;1330837857469145093;183;neither;negative;hate_speech
348;1279220698691579906;183;against;neutral;neither
349;1246112176693055490;183;neither;negative;hate_speech
350;1247035076774203393;183;favor;positive;offensive_language
351;1277009014023430145;183;against;negative;hate_speech
352;1256054260292345857;183;favor;positive;hate_speech
353;1249753854452924418;183;neither;negative;neither
354;1300124852565798912;183;favor;negative;hate_speech
355;1244106149390987264;188;favor;positive;neither
356;1241939755387850752;188;favor;negative;neither
357;1243899211537620992;188;favor;positive;neither
358;1245921214071275520;188;against;positive;neither
359;1242857084770816000;188;neither;positive;neither
360;1243718738597130241;188;neither;positive;neither
361;1243769274688135170;188;favor;negative;neither
362;1243879673093697537;188;neither;negative;neither
363;1243662381974204417;188;against;neutral;offensive_language
364;1243754410489958400;188;favor;positive;neither
365;1242845338966396930;188;neither;positive;neither
366;1243763686604341248;188;favor;positive;neither
367;1243677726541840385;188;favor;positive;neither
368;1243728532984881152;188;neither;neutral;neither
369;1243726188528447489;188;favor;positive;neither
370;1243712648199450624;188;favor;positive;neither
371;1244065099687567360;188;favor;positive;neither
372;1243659937261088769;188;favor;positive;neither
373;1244200667067097088;188;favor;positive;neither
374;1243906893107601408;188;favor;positive;neither
375;1242771049827057669;188;neither;positive;neither
376;1243916318014767104;188;favor;positive;neither
377;1243870715478228993;188;neither;positive;neither
378;1243741453437657088;188;against;negative;neither
379;1244784357275033601;200;favor;positive;offensive_language
380;1244403026430836736;200;against;negative;offensive_language
381;1263474539410923520;200;favor;positive;offensive_language
382;1243974608702898176;200;favor;positive;offensive_language
383;1243599376938926080;200;favor;neutral;offensive_language
384;1243480676441174016;200;favor;positive;offensive_language
385;1244853113288359937;200;favor;negative;offensive_language
386;1244144210032246784;200;favor;negative;offensive_language
387;1243694156074979328;200;favor;neutral;offensive_language
388;1243561146801627138;200;favor;neutral;offensive_language
389;1243911526211182593;200;favor;negative;offensive_language
390;1243537544903561218;200;favor;positive;offensive_language
391;1243867149975707649;200;against;neutral;offensive_language
392;1243918458653495298;200;favor;neutral;offensive_language
393;1243538545782009863;200;favor;neutral;offensive_language
394;1243552077072216066;200;favor;negative;offensive_language
395;1243600402664259586;200;favor;positive;offensive_language
396;1246528795772735489;201;favor;negative;neither
397;1248663715467202560;201;favor;positive;neither
398;1269323704980385793;201;favor;positive;neither
399;1248280393494585345;201;against;positive;neither
400;1251237405199224832;201;favor;negative;neither
401;1300107433004666882;201;against;negative;hate_speech
402;1290671455945007104;201;against;positive;neither
403;1244375126260539392;201;favor;negative;neither
404;1326796011348561920;201;favor;negative;neither
405;1328413858608738307;201;against;neutral;neither
406;1253372420741664769;201;favor;positive;neither
407;1311211177679126528;201;against;negative;neither
408;1305145600908947456;215;against;negative;neither
409;1242104110540713984;215;favor;negative;neither
410;1316037610989596673;215;favor;negative;neither
411;1268349312125280256;215;favor;negative;offensive_language
412;1276591281343475714;215;favor;negative;neither
413;1314023008302960644;215;favor;negative;neither
414;1298064612764549122;215;against;neutral;neither
415;1314662654183645184;215;favor;negative;neither
416;1351329490522296322;215;favor;negative;neither
417;1252493805703647235;215;favor;negative;neither
418;1319446654890725377;215;favor;negative;neither
419;1323115962070126592;215;against;positive;neither
420;1253034472192253961;215;favor;negative;offensive_language
421;1329453287427465221;215;favor;negative;hate_speech
422;1271102842506366976;215;against;neutral;neither
423;1246271255730442243;215;against;negative;neither
424;1276514818632097792;215;against;neutral;neither
425;1260678140499832837;215;favor;negative;hate_speech
426;1289203116810702849;215;favor;negative;neither
427;1244786455781703680;218;against;negative;neither
428;1240424928094142464;218;favor;negative;neither
429;1239933136517115904;218;favor;negative;neither
430;1239213177046323205;218;favor;negative;neither
431;1239551928297816065;218;favor;negative;neither
432;1240335670402523138;218;favor;negative;neither
433;1243114100282068992;218;favor;negative;neither
434;1239844915565088769;218;favor;positive;neither
435;1245677347132469250;218;favor;negative;neither
436;1242431495471423488;218;favor;positive;neither
437;1239609267986092034;218;neither;negative;neither
438;1268860770764365824;218;neither;negative;neither
439;1245295343807365120;218;against;negative;neither
440;1239925510106382336;218;favor;negative;neither
441;1254415181695893506;218;favor;negative;neither
442;1239919950258716673;218;neither;negative;neither
443;1253417169678811136;218;against;positive;neither
444;1245030267330465799;218;against;negative;neither
445;1239586373603999750;218;favor;negative;neither
446;1244985505550303233;218;against;negative;offensive_language
447;1253331606082777088;218;against;negative;neither
448;1247335543811293187;234;favor;negative;neither
449;1243204465852911617;234;favor;neutral;neither
450;1243687621412478977;234;favor;negative;neither
451;1245352503077670912;234;favor;negative;hate_speech
452;1246129308063526912;234;against;negative;neither
453;1243024750819115009;234;favor;negative;neither
454;1245168835377930240;234;favor;negative;neither
455;1242776951569383424;234;favor;negative;neither
456;1243522348193644546;234;against;positive;neither
457;1242526951820136448;234;favor;positive;neither
458;1243065498146832386;234;against;neutral;neither
459;1242095804472418304;234;favor;negative;neither
460;1243103177035124737;234;against;negative;neither
461;1244683348624248833;234;favor;positive;neither
462;1243649198328856576;234;favor;neutral;neither
463;1242549656489525250;234;favor;negative;hate_speech
464;1242510505740324869;234;favor;negative;neither
465;1242835980853403649;234;favor;negative;neither
466;1242112133984223232;234;favor;neutral;neither
467;1250985294788255744;234;favor;negative;neither
468;1241841074223661061;234;favor;negative;neither
469;1242860373843365888;234;against;positive;hate_speech
470;1242297949033582592;234;favor;negative;neither
471;1242976024557740035;234;against;negative;neither
472;1245844342008397824;234;against;negative;neither
473;1244941346315677696;234;favor;positive;neither
474;1242805700331479042;234;neither;negative;offensive_language
475;1242670887016464387;234;favor;negative;neither
476;1250297607357755393;253;favor;negative;neither
477;1244323438723923969;253;against;neutral;neither
478;1242601959326019585;253;favor;positive;neither
479;1242442260588965889;253;favor;negative;neither
480;1247582831586484231;253;favor;positive;neither
481;1242516481218404353;253;favor;negative;neither
482;1243595132814782469;253;against;negative;neither
483;1242564029018767360;253;favor;negative;neither
484;1244076068753027073;253;favor;neutral;neither
485;1247399211655544833;253;favor;neutral;neither
486;1242835680423809027;253;favor;positive;offensive_language
487;1243613762936078341;253;against;neutral;neither
488;1242520159278862336;253;favor;positive;neither
489;1242898889755131904;253;favor;positive;offensive_language
490;1243245448967737347;253;favor;positive;neither
491;1242613072553897985;253;favor;positive;neither
492;1242905147623301120;253;against;positive;offensive_language
493;1246468346217787392;253;against;negative;neither
494;1242921942631448577;253;favor;neutral;neither
495;1317435415905927173;253;favor;negative;neither
496;1261567008732315651;253;favor;negative;neither
497;1253017801331109889;253;against;neutral;offensive_language
498;1243534528968380417;253;against;negative;neither
499;1244365438424944641;253;favor;negative;neither
500;1242559668385280001;253;favor;neutral;neither
501;1242512842395242496;253;against;negative;neither
502;1251321129580539905;253;favor;neutral;neither
503;1242967959863046145;253;favor;positive;neither
504;1242173088780951555;297;favor;positive;neither
505;1242131888036347908;297;favor;negative;neither
506;1242081782125735937;297;favor;positive;neither
507;1252248378320158720;297;favor;neutral;neither
508;1243225413486288903;297;favor;negative;offensive_language
509;1336799732258254848;297;favor;negative;offensive_language
510;1242095592958033922;297;favor;negative;neither
511;1242232164466315265;297;favor;positive;offensive_language
512;1242107964548407301;297;favor;positive;offensive_language
513;1243974938857439233;297;favor;negative;neither
514;1242456923615657992;297;favor;positive;neither
515;1266394170765295618;297;favor;positive;neither
516;1243938919126835201;297;favor;negative;neither
517;1251187052458258432;297;favor;positive;neither
518;1336733286203228161;297;favor;negative;neither
519;1250851363883552769;297;favor;negative;neither
520;1305555461840736256;297;favor;negative;neither
521;1242730546125582336;297;favor;positive;neither
522;1336839430594768899;297;favor;negative;neither
523;1242155555071852544;297;favor;negative;offensive_language
524;1336909438368821249;297;favor;negative;neither
525;1241962353341558785;297;favor;negative;neither
526;1242254140929126400;297;favor;neutral;neither
527;1242348256610353153;299;against;negative;neither
528;1242802631946276864;299;against;negative;hate_speech
529;1244353132584480770;299;against;neutral;neither
530;1243852982480846848;299;against;negative;neither
531;1242490156520742913;299;against;positive;neither
532;1242892915333988352;299;against;positive;neither
533;1242425151532273666;299;against;positive;neither
534;1242530985884999687;299;against;negative;hate_speech
535;1242437372563853312;299;against;negative;neither
536;1243254754488221703;299;against;positive;neither
537;1243537470316314624;299;neither;positive;neither
538;1242427594395410434;299;against;negative;hate_speech
539;1242438290386685954;299;neither;negative;neither
540;1253758249486241792;299;against;positive;neither
541;1242435869094612996;299;neither;positive;neither
542;1242581001513193479;299;against;positive;neither
543;1242451109391802368;299;favor;neutral;hate_speech
544;1242952901049417733;299;against;negative;neither
545;1242230368981442563;299;favor;positive;neither
546;1242846641012510720;299;against;neutral;neither
547;1242921508562825216;299;neither;negative;hate_speech
548;1249588847840595970;299;against;positive;neither
549;1242440270899294208;299;neither;negative;neither
550;1243006637226561537;307;favor;negative;neither
551;1240093400864620546;307;favor;negative;neither
552;1241712524585828352;307;favor;negative;neither
553;1239916702432886785;307;favor;negative;neither
554;1239964092959322112;307;neither;negative;neither
555;1249812696830271495;307;favor;negative;neither
556;1240134873857359872;307;favor;negative;neither
557;1240092674084016128;307;favor;negative;neither
558;1241144398462754816;307;favor;negative;neither
559;1240376134862352389;307;favor;negative;neither
560;1239929083225460736;307;favor;negative;neither
561;1240481993781100549;307;against;negative;neither
562;1240096510718758912;307;favor;negative;neither
563;1242300310871302145;307;against;negative;neither
564;1240376708555051010;307;favor;negative;neither
565;1239956351607918593;307;neither;positive;neither
566;1241857300043714560;307;favor;negative;neither
567;1240305358167592966;307;neither;neutral;neither
568;1240028450674499584;307;favor;negative;neither
569;1240117468741406722;307;favor;positive;offensive_language
570;1249570800233066497;307;neither;neutral;neither
571;1239975672900132865;307;neither;negative;neither
572;1242317491201888256;319;favor;negative;hate_speech
573;1265306351351169025;319;favor;negative;offensive_language
574;1240707964253556736;319;favor;negative;neither
575;1242311435314659329;319;favor;negative;neither
576;1240685655023206401;319;favor;negative;neither
577;1240727635011022851;319;favor;positive;offensive_language
578;1241423641914626048;319;against;negative;offensive_language
579;1241874801506975744;319;against;negative;neither
580;1240694290164011009;319;against;positive;offensive_language
581;1240941598218891264;319;neither;negative;neither
582;1282389747999137795;319;neither;positive;neither
583;1240757109496729600;319;favor;neutral;neither
584;1242181272509624323;319;against;neutral;neither
585;1242397988741316608;319;favor;negative;neither
586;1241099704471031808;319;against;neutral;neither
587;1239907716090548230;327;favor;positive;neither
588;1240270671059521537;327;favor;negative;neither
589;1279903690049150982;327;neither;positive;offensive_language
590;1238181039174008832;327;neither;negative;neither
591;1325009523275395072;327;neither;positive;neither
592;1253035845562466304;327;neither;neutral;neither
593;1237874872329461766;327;favor;positive;neither
594;1246950485279604736;327;favor;positive;neither
595;1250313576536920066;327;against;negative;neither
596;1242995620794646529;327;against;negative;neither
597;1239060066780631041;327;favor;positive;neither
598;1347626058649112577;327;favor;positive;neither
599;1251709084170158080;327;neither;negative;neither
600;1352542203546136576;327;neither;negative;neither
601;1251114540202409989;327;favor;negative;neither
602;1263388516249219072;327;neither;negative;neither
603;1237809812894887937;327;favor;negative;hate_speech
604;1255212009597145089;327;favor;negative;neither
605;1253360810019246081;327;favor;positive;neither
606;1238463700123693056;327;favor;negative;hate_speech
607;1261304437693440001;327;favor;negative;neither
608;1238127478788501521;327;favor;neutral;hate_speech
609;1260881702920032261;327;favor;positive;neither
610;1335286343023218688;366;against;negative;neither
611;1246001972509061120;366;favor;negative;hate_speech
612;1289342913256849409;366;against;negative;neither
613;1260781213104533505;366;against;neutral;hate_speech
614;1249098465696550912;366;favor;negative;neither
615;1333818233992990720;366;favor;negative;hate_speech
616;1243065380144324610;366;neither;positive;neither
617;1247880071769141248;366;favor;negative;neither
618;1251080839628234754;366;against;neutral;neither
619;1241900277587800066;366;favor;neutral;neither
620;1258609052143087616;366;against;negative;neither
621;1241899422025277440;366;neither;neutral;neither
622;1238262869248131078;366;favor;negative;neither
623;1251096066826608642;366;against;negative;neither
624;1239635494981349376;366;favor;negative;neither
625;1279190258417049607;375;neither;positive;neither
626;1245808339289870339;375;against;negative;neither
627;1267463345122062338;375;favor;negative;neither
628;1239655415400497152;375;favor;positive;neither
629;1241194545519484928;375;neither;positive;offensive_language
630;1197921994353913857;375;neither;negative;offensive_language
631;1159175056980885509;375;favor;neutral;neither
632;1290810768531783680;375;favor;positive;neither
633;1239719482341429250;375;favor;positive;hate_speech
634;1240108952689561601;375;neither;neutral;offensive_language
635;1240348234666643466;375;favor;negative;neither
636;1239897941420036102;375;favor;negative;neither
637;1243528272073326594;375;favor;positive;neither
638;1242935154764644352;375;favor;negative;offensive_language
639;1284561421280456705;375;favor;negative;neither
640;1289878709839618050;375;favor;negative;neither
641;1272885422545186816;375;favor;negative;neither
642;1240155654884601857;375;favor;negative;neither
643;1239804139984629760;378;against;negative;neither
644;1239197320761278464;378;favor;positive;neither
645;1241170023600861186;378;favor;positive;neither
646;1239136331697184768;378;favor;neutral;neither
647;1239225639737143296;378;favor;negative;neither
648;1239601691487502339;378;against;positive;neither
649;1239639132223213574;378;against;negative;neither
