;tweetid;cretaed_at;category;senti;hate
39;1234735259180294145;Tue Mar 03 07:00:00 +0000 2020;calling out or correction;negative;neither
40;1235545131937341441;Thu Mar 05 12:38:09 +0000 2020;politics;negative;neither
41;1235662475640672262;Thu Mar 05 20:24:26 +0000 2020;ambiguous or hard to classify;positive;neither
42;1235804640924577792;Fri Mar 06 05:49:21 +0000 2020;politics;negative;neither
43;1235814870873812995;Fri Mar 06 06:30:00 +0000 2020;calling out or correction;negative;neither
44;1236329332236259330;Sat Mar 07 16:34:17 +0000 2020;true prevention;negative;neither
45;1236444108958269440;Sun Mar 08 00:10:22 +0000 2020;conspiracy;negative;neither
46;1236507997389684736;Sun Mar 08 04:24:14 +0000 2020;politics;neutral;neither
47;1236611740864933888;Sun Mar 08 11:16:28 +0000 2020;conspiracy;neutral;neither
48;1236642166400790528;Sun Mar 08 13:17:22 +0000 2020;conspiracy;neutral;neither
49;1236672034291085314;Sun Mar 08 15:16:03 +0000 2020;conspiracy;negative;neither
50;1236976393747120131;Mon Mar 09 11:25:28 +0000 2020;calling out or correction;neutral;neither
51;1236976707476828166;Mon Mar 09 11:26:43 +0000 2020;news;negative;neither
52;1236977213775532033;Mon Mar 09 11:28:44 +0000 2020;calling out or correction;positive;neither
53;1236977805784539137;Mon Mar 09 11:31:05 +0000 2020;conspiracy;neutral;neither
54;1236977913368662016;Mon Mar 09 11:31:31 +0000 2020;calling out or correction;negative;hate_speech
55;1236979714826395649;Mon Mar 09 11:38:40 +0000 2020;calling out or correction;negative;neither
56;1236980229006032896;Mon Mar 09 11:40:43 +0000 2020;sarcasm or satire;positive;neither
57;1236980398598557696;Mon Mar 09 11:41:23 +0000 2020;calling out or correction;positive;offensive_language
58;1236981003224113152;Mon Mar 09 11:43:47 +0000 2020;news;neutral;neither
59;1236981260637155328;Mon Mar 09 11:44:49 +0000 2020;false fact or prevention;positive;neither
60;1236981590326153217;Mon Mar 09 11:46:07 +0000 2020;politics;negative;neither
61;1236982725514493952;Mon Mar 09 11:50:38 +0000 2020;ambiguous or hard to classify;neutral;neither
62;1236983008848158720;Mon Mar 09 11:51:45 +0000 2020;irrelevant;neutral;neither
63;1236983144500334594;Mon Mar 09 11:52:18 +0000 2020;irrelevant;positive;neither
64;1236983177983537152;Mon Mar 09 11:52:26 +0000 2020;sarcasm or satire;neutral;neither
65;1236983215346331650;Mon Mar 09 11:52:35 +0000 2020;calling out or correction;positive;neither
66;1236983649779712000;Mon Mar 09 11:54:18 +0000 2020;ambiguous or hard to classify;positive;neither
67;1236983670646472704;Mon Mar 09 11:54:23 +0000 2020;calling out or correction;negative;neither
68;1236984032644280320;Mon Mar 09 11:55:50 +0000 2020;irrelevant;negative;neither
69;1236984452116611072;Mon Mar 09 11:57:30 +0000 2020;calling out or correction;positive;neither
70;1236984816173756421;Mon Mar 09 11:58:56 +0000 2020;sarcasm or satire;neutral;offensive_language
71;1236984885811777537;Mon Mar 09 11:59:13 +0000 2020;sarcasm or satire;neutral;neither
72;1236985078045122560;Mon Mar 09 11:59:59 +0000 2020;calling out or correction;neutral;neither
73;1236985117979152384;Mon Mar 09 12:00:08 +0000 2020;politics;positive;neither
74;1236985619047419904;Mon Mar 09 12:02:08 +0000 2020;calling out or correction;negative;neither
75;1236985708578996225;Mon Mar 09 12:02:29 +0000 2020;ambiguous or hard to classify;positive;hate_speech
76;1236985900841799686;Mon Mar 09 12:03:15 +0000 2020;true prevention;positive;offensive_language
77;1236987409222467585;Mon Mar 09 12:09:15 +0000 2020;ambiguous or hard to classify;negative;neither
78;1236987708183949314;Mon Mar 09 12:10:26 +0000 2020;news;neutral;neither
79;1236987728769630210;Mon Mar 09 12:10:31 +0000 2020;irrelevant;positive;neither
80;1236988271625936896;Mon Mar 09 12:12:40 +0000 2020;calling out or correction;negative;neither
81;1236988309148250115;Mon Mar 09 12:12:49 +0000 2020;news;negative;offensive_language
82;1236988693681823744;Mon Mar 09 12:14:21 +0000 2020;sarcasm or satire;positive;neither
83;1236988946900549633;Mon Mar 09 12:15:21 +0000 2020;false fact or prevention;positive;neither
84;1236989148222967808;Mon Mar 09 12:16:09 +0000 2020;true public health response;negative;neither
85;1236989316208918529;Mon Mar 09 12:16:49 +0000 2020;true public health response;negative;neither
86;1236989367916396544;Mon Mar 09 12:17:02 +0000 2020;calling out or correction;positive;neither
87;1236989503975366657;Mon Mar 09 12:17:34 +0000 2020;false fact or prevention;positive;neither
88;1236991060846379008;Mon Mar 09 12:23:45 +0000 2020;true prevention;positive;neither
89;1236991350068969478;Mon Mar 09 12:24:54 +0000 2020;calling out or correction;positive;neither
90;1236991373246595072;Mon Mar 09 12:25:00 +0000 2020;true public health response;neutral;neither
91;1236991557993000961;Mon Mar 09 12:25:44 +0000 2020;news;negative;neither
92;1236991664037588992;Mon Mar 09 12:26:09 +0000 2020;politics;positive;offensive_language
93;1236992278700404736;Mon Mar 09 12:28:36 +0000 2020;panic buying;positive;neither
94;1236992524520210434;Mon Mar 09 12:29:34 +0000 2020;calling out or correction;negative;neither
95;1236992587204104198;Mon Mar 09 12:29:49 +0000 2020;sarcasm or satire;negative;neither
96;1236993410071957505;Mon Mar 09 12:33:05 +0000 2020;irrelevant;negative;neither
97;1236993647037558784;Mon Mar 09 12:34:02 +0000 2020;panic buying;negative;neither
98;1236993649302478853;Mon Mar 09 12:34:02 +0000 2020;calling out or correction;negative;neither
99;1236993749940461575;Mon Mar 09 12:34:26 +0000 2020;panic buying;negative;neither
100;1236994411059437569;Mon Mar 09 12:37:04 +0000 2020;news;negative;neither
101;1236995390777548803;Mon Mar 09 12:40:58 +0000 2020;sarcasm or satire;positive;neither
102;1236995717316653058;Mon Mar 09 12:42:15 +0000 2020;politics;negative;neither
103;1236996069957021699;Mon Mar 09 12:43:40 +0000 2020;sarcasm or satire;negative;offensive_language
104;1236996126445907970;Mon Mar 09 12:43:53 +0000 2020;false fact or prevention;positive;neither
105;1236996224739393543;Mon Mar 09 12:44:16 +0000 2020;calling out or correction;positive;neither
106;1236996469317656578;Mon Mar 09 12:45:15 +0000 2020;calling out or correction;negative;neither
107;1236996517346582528;Mon Mar 09 12:45:26 +0000 2020;calling out or correction;positive;neither
108;1236996557158977536;Mon Mar 09 12:45:36 +0000 2020;false fact or prevention;positive;neither
109;1236997077047152641;Mon Mar 09 12:47:40 +0000 2020;news;negative;neither
110;1236997495957356544;Mon Mar 09 12:49:19 +0000 2020;panic buying;positive;neither
111;1236997583236710401;Mon Mar 09 12:49:40 +0000 2020;calling out or correction;negative;neither
112;1236997599774879744;Mon Mar 09 12:49:44 +0000 2020;false fact or prevention;neutral;neither
113;1236997738354470913;Mon Mar 09 12:50:17 +0000 2020;politics;negative;offensive_language
114;1236997808068202496;Mon Mar 09 12:50:34 +0000 2020;calling out or correction;negative;neither
115;1236998020023160837;Mon Mar 09 12:51:24 +0000 2020;conspiracy;positive;neither
116;1236998271379353602;Mon Mar 09 12:52:24 +0000 2020;news;neutral;neither
117;1236998339796721665;Mon Mar 09 12:52:41 +0000 2020;calling out or correction;negative;neither
118;1236998371824435201;Mon Mar 09 12:52:48 +0000 2020;calling out or correction;positive;hate_speech
119;1236999111611645954;Mon Mar 09 12:55:45 +0000 2020;sarcasm or satire;negative;offensive_language
120;1236999385399078914;Mon Mar 09 12:56:50 +0000 2020;calling out or correction;negative;neither
121;1236999540995170306;Mon Mar 09 12:57:27 +0000 2020;conspiracy;neutral;neither
122;1236999661791174657;Mon Mar 09 12:57:56 +0000 2020;ambiguous or hard to classify;positive;neither
123;1236999729231400963;Mon Mar 09 12:58:12 +0000 2020;sarcasm or satire;negative;offensive_language
124;1237000099445776390;Mon Mar 09 12:59:40 +0000 2020;sarcasm or satire;positive;hate_speech
125;1237000415495032834;Mon Mar 09 13:00:56 +0000 2020;irrelevant;positive;offensive_language
126;1237000651512651778;Mon Mar 09 13:01:52 +0000 2020;conspiracy;negative;neither
127;1237000711159853057;Mon Mar 09 13:02:06 +0000 2020;calling out or correction;positive;offensive_language
128;1237000746115055617;Mon Mar 09 13:02:14 +0000 2020;irrelevant;neutral;neither
129;1237001557855604736;Mon Mar 09 13:05:28 +0000 2020;panic buying;positive;offensive_language
130;1237002047867715585;Mon Mar 09 13:07:25 +0000 2020;calling out or correction;negative;neither
131;1237002100955062272;Mon Mar 09 13:07:37 +0000 2020;calling out or correction;negative;neither
132;1237002546927067137;Mon Mar 09 13:09:24 +0000 2020;irrelevant;neutral;neither
133;1237002556070670336;Mon Mar 09 13:09:26 +0000 2020;calling out or correction;positive;neither
134;1237002608461651974;Mon Mar 09 13:09:38 +0000 2020;calling out or correction;negative;offensive_language
135;1237002867090903040;Mon Mar 09 13:10:40 +0000 2020;sarcasm or satire;positive;neither
136;1237002987303833603;Mon Mar 09 13:11:09 +0000 2020;conspiracy;neutral;neither
137;1237003170661814272;Mon Mar 09 13:11:52 +0000 2020;panic buying;positive;neither
138;1237003219496206336;Mon Mar 09 13:12:04 +0000 2020;calling out or correction;negative;neither
139;1237003285271400448;Mon Mar 09 13:12:20 +0000 2020;politics;positive;neither
140;1237003361100185600;Mon Mar 09 13:12:38 +0000 2020;calling out or correction;positive;neither
141;1237003883827941378;Mon Mar 09 13:14:42 +0000 2020;true prevention;neutral;neither
142;1237004101759561729;Mon Mar 09 13:15:34 +0000 2020;news;positive;neither
143;1237004239454515201;Mon Mar 09 13:16:07 +0000 2020;panic buying;negative;neither
144;1237004438864306182;Mon Mar 09 13:16:55 +0000 2020;sarcasm or satire;positive;neither
145;1237004497802665987;Mon Mar 09 13:17:09 +0000 2020;true public health response;negative;neither
146;1237004683236892672;Mon Mar 09 13:17:53 +0000 2020;sarcasm or satire;negative;neither
147;1237004686428790784;Mon Mar 09 13:17:54 +0000 2020;false fact or prevention;negative;neither
148;1237005017871085569;Mon Mar 09 13:19:13 +0000 2020;sarcasm or satire;negative;hate_speech
149;1237005432046026752;Mon Mar 09 13:20:52 +0000 2020;politics;neutral;offensive_language
150;1237005605006503937;Mon Mar 09 13:21:33 +0000 2020;politics;positive;neither
151;1237005750293102594;Mon Mar 09 13:22:07 +0000 2020;ambiguous or hard to classify;negative;neither
152;1237005909768826880;Mon Mar 09 13:22:46 +0000 2020;news;positive;neither
153;1237006394659913730;Mon Mar 09 13:24:41 +0000 2020;true prevention;positive;neither
154;1237006649698562050;Mon Mar 09 13:25:42 +0000 2020;irrelevant;positive;neither
155;1237006659018514432;Mon Mar 09 13:25:44 +0000 2020;ambiguous or hard to classify;positive;neither
156;1237006688118587393;Mon Mar 09 13:25:51 +0000 2020;irrelevant;positive;neither
157;1237006854166847488;Mon Mar 09 13:26:31 +0000 2020;conspiracy;positive;neither
158;1237007045666185219;Mon Mar 09 13:27:16 +0000 2020;sarcasm or satire;positive;neither
159;1237007353901285376;Mon Mar 09 13:28:30 +0000 2020;conspiracy;negative;offensive_language
160;1237007613746913280;Mon Mar 09 13:29:32 +0000 2020;true public health response;negative;neither
161;1237007676548227078;Mon Mar 09 13:29:47 +0000 2020;true prevention;neutral;offensive_language
162;1237007952575373312;Mon Mar 09 13:30:53 +0000 2020;irrelevant;positive;neither
163;1237008246444974080;Mon Mar 09 13:32:03 +0000 2020;conspiracy;neutral;neither
164;1237008448807723008;Mon Mar 09 13:32:51 +0000 2020;calling out or correction;negative;offensive_language
165;1237008573462388738;Mon Mar 09 13:33:21 +0000 2020;conspiracy;negative;hate_speech
166;1237008746796257281;Mon Mar 09 13:34:02 +0000 2020;panic buying;negative;offensive_language
167;1237009188611592193;Mon Mar 09 13:35:47 +0000 2020;true prevention;positive;neither
168;1237009233385840640;Mon Mar 09 13:35:58 +0000 2020;irrelevant;neutral;offensive_language
169;1237009363916685312;Mon Mar 09 13:36:29 +0000 2020;panic buying;positive;neither
170;1237009457218871300;Mon Mar 09 13:36:51 +0000 2020;calling out or correction;negative;neither
171;1237009601721241601;Mon Mar 09 13:37:26 +0000 2020;irrelevant;neutral;neither
172;1237009618301333505;Mon Mar 09 13:37:30 +0000 2020;sarcasm or satire;negative;neither
173;1237010192711200775;Mon Mar 09 13:39:47 +0000 2020;politics;positive;neither
174;1237010352119975937;Mon Mar 09 13:40:25 +0000 2020;true public health response;positive;neither
175;1237011093962272770;Mon Mar 09 13:43:22 +0000 2020;panic buying;negative;neither
176;1237011405813006336;Mon Mar 09 13:44:36 +0000 2020;calling out or correction;negative;neither
177;1237012114692177920;Mon Mar 09 13:47:25 +0000 2020;calling out or correction;positive;neither
178;1237012446675636224;Mon Mar 09 13:48:44 +0000 2020;panic buying;negative;neither
179;1237012764213698560;Mon Mar 09 13:50:00 +0000 2020;calling out or correction;neutral;offensive_language
180;1237014054889086976;Mon Mar 09 13:55:07 +0000 2020;false fact or prevention;neutral;offensive_language
181;1237014936880021507;Mon Mar 09 13:58:38 +0000 2020;sarcasm or satire;neutral;offensive_language
182;1237015281526018048;Mon Mar 09 14:00:00 +0000 2020;calling out or correction;positive;neither
183;1237016446594670593;Mon Mar 09 14:04:38 +0000 2020;calling out or correction;negative;offensive_language
184;1237017085148086272;Mon Mar 09 14:07:10 +0000 2020;calling out or correction;neutral;neither
185;1237017577131585536;Mon Mar 09 14:09:07 +0000 2020;false fact or prevention;positive;neither
186;1237017694957961216;Mon Mar 09 14:09:35 +0000 2020;sarcasm or satire;negative;offensive_language
187;1237020148357140480;Mon Mar 09 14:19:20 +0000 2020;conspiracy;positive;offensive_language
188;1237020570077855745;Mon Mar 09 14:21:01 +0000 2020;false fact or prevention;positive;neither
189;1237021404559814656;Mon Mar 09 14:24:20 +0000 2020;sarcasm or satire;positive;neither
190;1237021501561413632;Mon Mar 09 14:24:43 +0000 2020;calling out or correction;positive;neither
191;1237021867958923264;Mon Mar 09 14:26:10 +0000 2020;calling out or correction;negative;neither
192;1237022530269057024;Mon Mar 09 14:28:48 +0000 2020;true public health response;positive;neither
193;1237022799019085833;Mon Mar 09 14:29:52 +0000 2020;ambiguous or hard to classify;positive;neither
194;1237023162065444866;Mon Mar 09 14:31:19 +0000 2020;calling out or correction;negative;neither
195;1237023737507020806;Mon Mar 09 14:33:36 +0000 2020;calling out or correction;negative;offensive_language
196;1237023868125974529;Mon Mar 09 14:34:07 +0000 2020;sarcasm or satire;positive;neither
197;1237024396297945088;Mon Mar 09 14:36:13 +0000 2020;fake cure;neutral;neither
198;1237025430084956160;Mon Mar 09 14:40:20 +0000 2020;irrelevant;positive;neither
199;1237025465933729795;Mon Mar 09 14:40:28 +0000 2020;sarcasm or satire;positive;offensive_language
200;1237026121511776257;Mon Mar 09 14:43:04 +0000 2020;calling out or correction;neutral;neither
201;1237026251560357888;Mon Mar 09 14:43:35 +0000 2020;conspiracy;neutral;neither
202;1237028252629323777;Mon Mar 09 14:51:32 +0000 2020;conspiracy;neutral;neither
203;1237028380794654720;Mon Mar 09 14:52:03 +0000 2020;conspiracy;negative;neither
204;1237029730941100038;Mon Mar 09 14:57:25 +0000 2020;conspiracy;positive;neither
205;1237032658183520257;Mon Mar 09 15:09:03 +0000 2020;conspiracy;neutral;neither
206;1237070720829718528;Mon Mar 09 17:40:18 +0000 2020;calling out or correction;neutral;offensive_language
207;1237075021769605121;Mon Mar 09 17:57:23 +0000 2020;panic buying;positive;offensive_language
208;1237084735450611713;Mon Mar 09 18:35:59 +0000 2020;news;neutral;neither
209;1237085736647745544;Mon Mar 09 18:39:58 +0000 2020;irrelevant;negative;neither
210;1237087378432548865;Mon Mar 09 18:46:29 +0000 2020;politics;negative;neither
211;1237088182652583936;Mon Mar 09 18:49:41 +0000 2020;panic buying;negative;neither
212;1237088317780283392;Mon Mar 09 18:50:13 +0000 2020;politics;negative;neither
213;1237089087762268160;Mon Mar 09 18:53:17 +0000 2020;irrelevant;negative;neither
214;1237089640517115904;Mon Mar 09 18:55:28 +0000 2020;true public health response;neutral;neither
215;1237090071469125632;Mon Mar 09 18:57:11 +0000 2020;calling out or correction;neutral;neither
216;1237090884799336451;Mon Mar 09 19:00:25 +0000 2020;calling out or correction;negative;neither
217;1237111924342558727;Mon Mar 09 20:24:01 +0000 2020;calling out or correction;negative;hate_speech
218;1237119489046654981;Mon Mar 09 20:54:05 +0000 2020;politics;negative;neither
219;1237126549851320320;Mon Mar 09 21:22:08 +0000 2020;calling out or correction;neutral;neither
220;1237134920914554880;Mon Mar 09 21:55:24 +0000 2020;sarcasm or satire;negative;neither
221;1237137428369956864;Mon Mar 09 22:05:22 +0000 2020;irrelevant;neutral;offensive_language
222;1237139620057489410;Mon Mar 09 22:14:05 +0000 2020;sarcasm or satire;positive;hate_speech
223;1237156263386943488;Mon Mar 09 23:20:13 +0000 2020;calling out or correction;neutral;offensive_language
224;1237157847974195201;Mon Mar 09 23:26:30 +0000 2020;calling out or correction;positive;neither
225;1237182688857120768;Tue Mar 10 01:05:13 +0000 2020;calling out or correction;positive;neither
226;1237206971889180672;Tue Mar 10 02:41:42 +0000 2020;conspiracy;negative;offensive_language
227;1237211133213278208;Tue Mar 10 02:58:15 +0000 2020;irrelevant;negative;neither
228;1237246077872377856;Tue Mar 10 05:17:06 +0000 2020;calling out or correction;negative;neither
229;1237289389950001153;Tue Mar 10 08:09:12 +0000 2020;conspiracy;positive;offensive_language
230;1237302298465964032;Tue Mar 10 09:00:30 +0000 2020;conspiracy;negative;neither
231;1237325447731519488;Tue Mar 10 10:32:29 +0000 2020;politics;negative;neither
232;1237331704236224513;Tue Mar 10 10:57:21 +0000 2020;calling out or correction;positive;neither
233;1237355568672772097;Tue Mar 10 12:32:11 +0000 2020;sarcasm or satire;negative;neither
234;1237360296316080128;Tue Mar 10 12:50:58 +0000 2020;calling out or correction;positive;neither
235;1237364785357848579;Tue Mar 10 13:08:48 +0000 2020;false fact or prevention;positive;neither
236;1237373127929274368;Tue Mar 10 13:41:57 +0000 2020;sarcasm or satire;positive;neither
237;1237388993555247105;Tue Mar 10 14:45:00 +0000 2020;calling out or correction;positive;neither
238;1237401905086767104;Tue Mar 10 15:36:18 +0000 2020;sarcasm or satire;negative;neither
239;1237410951315496960;Tue Mar 10 16:12:15 +0000 2020;sarcasm or satire;positive;neither
240;1237416956052901891;Tue Mar 10 16:36:07 +0000 2020;calling out or correction;negative;neither
241;1237419192879546370;Tue Mar 10 16:45:00 +0000 2020;calling out or correction;negative;neither
242;1237420129937432576;Tue Mar 10 16:48:43 +0000 2020;calling out or correction;neutral;neither
243;1237420887630102534;Tue Mar 10 16:51:44 +0000 2020;calling out or correction;negative;neither
244;1237435908984627200;Tue Mar 10 17:51:25 +0000 2020;sarcasm or satire;neutral;neither
245;1237467299524665344;Tue Mar 10 19:56:09 +0000 2020;conspiracy;positive;neither
246;1237468740851085312;Tue Mar 10 20:01:53 +0000 2020;conspiracy;neutral;neither
247;1237474263294070784;Tue Mar 10 20:23:50 +0000 2020;calling out or correction;negative;neither
248;1237482162955472901;Tue Mar 10 20:55:13 +0000 2020;conspiracy;neutral;neither
249;1237492180534648838;Tue Mar 10 21:35:01 +0000 2020;false fact or prevention;positive;offensive_language
250;1237523998042292224;Tue Mar 10 23:41:27 +0000 2020;calling out or correction;neutral;neither
251;1237527099671363584;Tue Mar 10 23:53:47 +0000 2020;calling out or correction;neutral;offensive_language
252;1237540387356475392;Wed Mar 11 00:46:35 +0000 2020;calling out or correction;positive;neither
253;1237546233234722817;Wed Mar 11 01:09:49 +0000 2020;sarcasm or satire;negative;offensive_language
254;1237624240964173824;Wed Mar 11 06:19:47 +0000 2020;calling out or correction;positive;offensive_language
255;1237648930919211009;Wed Mar 11 07:57:54 +0000 2020;calling out or correction;negative;neither
256;1237652825758457856;Wed Mar 11 08:13:22 +0000 2020;sarcasm or satire;positive;offensive_language
257;1237689113911967744;Wed Mar 11 10:37:34 +0000 2020;calling out or correction;positive;neither
258;1237699220477542403;Wed Mar 11 11:17:44 +0000 2020;calling out or correction;negative;neither
259;1237699626976841728;Wed Mar 11 11:19:21 +0000 2020;calling out or correction;neutral;neither
260;1237703963107041281;Wed Mar 11 11:36:34 +0000 2020;conspiracy;neutral;neither
261;1237733541992992768;Wed Mar 11 13:34:07 +0000 2020;news;neutral;neither
262;1237742384861118465;Wed Mar 11 14:09:15 +0000 2020;calling out or correction;positive;neither
263;1237782822338859011;Wed Mar 11 16:49:56 +0000 2020;true public health response;negative;neither
264;1237782886939385858;Wed Mar 11 16:50:11 +0000 2020;politics;positive;neither
265;1237782887677792258;Wed Mar 11 16:50:11 +0000 2020;calling out or correction;positive;neither
266;1237792397523849216;Wed Mar 11 17:27:59 +0000 2020;false fact or prevention;positive;neither
267;1237796176231104512;Wed Mar 11 17:43:00 +0000 2020;calling out or correction;neutral;neither
268;1237796271383068673;Wed Mar 11 17:43:22 +0000 2020;ambiguous or hard to classify;positive;neither
269;1237807815512797184;Wed Mar 11 18:29:15 +0000 2020;false fact or prevention;positive;neither
270;1237820562149462018;Wed Mar 11 19:19:54 +0000 2020;true public health response;negative;neither
271;1237821421218340865;Wed Mar 11 19:23:19 +0000 2020;commercial activity or promotion;neutral;neither
272;1237822381898584071;Wed Mar 11 19:27:08 +0000 2020;politics;negative;neither
273;1237823037229187072;Wed Mar 11 19:29:44 +0000 2020;false fact or prevention;positive;neither
274;1237823669029593089;Wed Mar 11 19:32:15 +0000 2020;true prevention;negative;neither
275;1237824087012995072;Wed Mar 11 19:33:54 +0000 2020;calling out or correction;negative;offensive_language
276;1237834630126014466;Wed Mar 11 20:15:48 +0000 2020;calling out or correction;neutral;neither
277;1237835639657127936;Wed Mar 11 20:19:49 +0000 2020;calling out or correction;negative;neither
278;1237843967598678021;Wed Mar 11 20:52:54 +0000 2020;conspiracy;positive;neither
279;1237848806693068800;Wed Mar 11 21:12:08 +0000 2020;panic buying;negative;neither
280;1237861011052302339;Wed Mar 11 22:00:38 +0000 2020;news;neutral;neither
281;1237871272714895363;Wed Mar 11 22:41:24 +0000 2020;calling out or correction;positive;neither
282;1237892382529445888;Thu Mar 12 00:05:17 +0000 2020;sarcasm or satire;positive;neither
283;1237895131052662790;Thu Mar 12 00:16:12 +0000 2020;panic buying;negative;neither
284;1237908607888433152;Thu Mar 12 01:09:46 +0000 2020;fake cure;neutral;neither
285;1237921094620925952;Thu Mar 12 01:59:23 +0000 2020;true public health response;positive;neither
286;1237922652158693376;Thu Mar 12 02:05:34 +0000 2020;calling out or correction;negative;neither
287;1237924615558660097;Thu Mar 12 02:13:22 +0000 2020;calling out or correction;negative;neither
288;1237933000874213378;Thu Mar 12 02:46:41 +0000 2020;calling out or correction;neutral;neither
289;1237935982449758211;Thu Mar 12 02:58:32 +0000 2020;conspiracy;negative;neither
290;1237957071183794177;Thu Mar 12 04:22:20 +0000 2020;sarcasm or satire;positive;neither
291;1238009566018916352;Thu Mar 12 07:50:56 +0000 2020;conspiracy;negative;neither
292;1238015435746000896;Thu Mar 12 08:14:15 +0000 2020;ambiguous or hard to classify;positive;neither
293;1238019232564117511;Thu Mar 12 08:29:20 +0000 2020;false fact or prevention;positive;neither
294;1238095784895229956;Thu Mar 12 13:33:32 +0000 2020;sarcasm or satire;neutral;neither
295;1238096041620242433;Thu Mar 12 13:34:33 +0000 2020;false fact or prevention;negative;neither
296;1238116346635997185;Thu Mar 12 14:55:14 +0000 2020;true prevention;negative;neither
297;1238117040499687430;Thu Mar 12 14:58:00 +0000 2020;calling out or correction;positive;hate_speech
298;1238123012345356293;Thu Mar 12 15:21:44 +0000 2020;calling out or correction;neutral;neither
299;1238134948030107648;Thu Mar 12 16:09:09 +0000 2020;sarcasm or satire;negative;offensive_language
300;1238143047419998208;Thu Mar 12 16:41:20 +0000 2020;false fact or prevention;positive;neither
301;1238177438598926336;Thu Mar 12 18:58:00 +0000 2020;calling out or correction;positive;neither
302;1238178822245289984;Thu Mar 12 19:03:30 +0000 2020;true public health response;positive;neither
303;1238180205098872834;Thu Mar 12 19:08:59 +0000 2020;calling out or correction;positive;neither
304;1238191734057771009;Thu Mar 12 19:54:48 +0000 2020;calling out or correction;positive;neither
305;1238197929145442304;Thu Mar 12 20:19:25 +0000 2020;conspiracy;negative;neither
306;1238214108643594242;Thu Mar 12 21:23:43 +0000 2020;ambiguous or hard to classify;positive;offensive_language
307;1238216561954975744;Thu Mar 12 21:33:27 +0000 2020;irrelevant;neutral;neither
