;tweetid;stance;temporal;hate;sentiment
119;1459849624957566977;deny;past;neither;positive
120;1459861595727794179;deny;present;neither;positive
121;1459879195253919745;deny;future;offensive_language;negative
122;1459883275649007623;deny;future;neither;positive
123;1459883966870216707;deny;present;neither;positive
124;1459915368764526602;deny;future;neither;neutral
125;1459917682501845001;deny;present;neither;neutral
126;1459920404907184146;deny;future;neither;negative
127;1459921297979449347;deny;future;offensive_language;negative
128;1459924133895192583;deny;future;offensive_language;positive
129;1459926207676432386;deny;past;neither;positive
130;1459928702515621892;deny;present;neither;positive
131;1459939899520557063;deny;past;neither;neutral
132;1459945466234347529;deny;future;neither;negative
133;1459955993597685770;deny;past;offensive_language;negative
134;1459963380060540928;deny;future;offensive_language;positive
135;1459979597676617735;deny;future;neither;positive
136;1459986421050183685;deny;present;neither;negative
137;1459987169259446284;deny;future;hate_speech;neutral
138;1460008219900710914;deny;present;neither;positive
139;1460014033721913345;deny;past;neither;negative
140;1460024174626312194;deny;future;offensive_language;negative
141;1460039423651770374;deny;past;neither;negative
142;1460039493377875974;deny;past;neither;negative
143;1460093047698604032;deny;present;offensive_language;positive
144;1460094922103558148;deny;present;neither;positive
145;1460102312228237314;deny;future;offensive_language;positive
146;1460104771432505347;deny;past;neither;negative
147;1460114153385955328;deny;past;offensive_language;positive
148;1460161717745377287;deny;future;offensive_language;negative
149;1460170517512556544;deny;present;offensive_language;positive
150;1460225237467942915;deny;future;offensive_language;neutral
151;1460238274966917125;deny;past;offensive_language;positive
152;1460254991042727942;deny;future;neither;negative
153;1460267737327054850;deny;past;offensive_language;negative
154;1460272161378156553;deny;past;neither;positive
155;1460289127107252224;deny;present;neither;positive
156;1460293568568958994;deny;past;offensive_language;positive
157;1460304944288964610;deny;present;neither;neutral
158;1460306094618779655;deny;past;hate_speech;negative
159;1460306581153796103;deny;future;offensive_language;positive
160;1460311690873081864;deny;present;neither;neutral
161;1460313524387864593;deny;present;offensive_language;positive
162;1460316479832788996;deny;present;neither;negative
163;1460326339429343235;deny;present;neither;positive
164;1460326398485311491;deny;present;offensive_language;negative
165;1460329254772609024;deny;past;neither;negative
166;1460330173639933956;deny;present;hate_speech;positive
167;1460334714535903237;deny;present;neither;negative
168;1460337000217722889;deny;past;hate_speech;negative
169;1460340024294227973;deny;present;neither;neutral
170;1460346170144821248;deny;past;offensive_language;negative
171;1460347579816841221;deny;present;neither;positive
172;1460351158090829824;deny;present;offensive_language;negative
173;1460354221853876235;deny;present;neither;positive
174;1460357570846019587;deny;future;offensive_language;neutral
175;1460358183189311488;deny;future;neither;negative
176;1460367018645803012;deny;present;offensive_language;positive
177;1460372903032020995;deny;past;offensive_language;positive
178;1460374972744884229;deny;past;offensive_language;negative
179;1460376053281529861;deny;future;neither;negative
180;1460377021931003909;deny;past;neither;negative
181;1460377258397425670;deny;future;neither;neutral
182;1460389479211020288;deny;present;offensive_language;negative
183;1460392283786956806;deny;present;offensive_language;negative
184;1460398420976447496;deny;present;neither;negative
185;1460400184568029184;deny;future;neither;neutral
186;1460401851828879360;deny;present;offensive_language;positive
187;1460403631967113224;deny;future;offensive_language;neutral
188;1460409803898077184;deny;present;hate_speech;neutral
189;1460411917093199874;deny;future;offensive_language;positive
190;1460426289110650884;deny;past;neither;neutral
191;1460446521137135618;deny;present;neither;negative
192;1460452309608148992;deny;present;offensive_language;negative
193;1460457868059189254;deny;future;neither;neutral
194;1460473919400554498;deny;future;hate_speech;positive
195;1460480926446604298;deny;future;offensive_language;positive
196;1460483927869730823;deny;future;neither;neutral
197;1460499115733929984;deny;present;neither;negative
198;1460502449312210944;deny;future;offensive_language;neutral
199;1460508601223716865;deny;past;offensive_language;positive
200;1460517044990844930;deny;future;neither;negative
201;1460527170225332227;deny;past;neither;neutral
202;1460543038942588930;deny;present;neither;positive
203;1460570615950286855;deny;future;neither;negative
204;1460576640233267205;deny;future;offensive_language;negative
205;1460597979929272329;deny;future;neither;neutral
206;1460645481961373704;deny;present;neither;positive
207;1460647230055059458;deny;past;neither;negative
208;1460649720616005644;deny;future;neither;neutral
209;1460652180751462404;deny;future;neither;neutral
210;1460654410892288008;deny;present;neither;positive
211;1460659324292718598;deny;future;neither;positive
212;1460669121838956553;deny;past;neither;positive
213;1460673074676879365;deny;future;offensive_language;negative
214;1460674474152542221;deny;future;neither;negative
215;1460717207231602694;deny;past;neither;negative
216;1460723986749431808;deny;future;offensive_language;negative
217;1460734311968256005;deny;present;offensive_language;neutral
218;1460734728869400581;deny;past;neither;negative
219;1460734837409656836;deny;past;neither;negative
220;1460734909912387588;deny;past;neither;negative
221;1460735039075930121;deny;future;hate_speech;negative
222;1460735066796175362;deny;past;neither;negative
223;1460735228658528269;deny;past;neither;negative
224;1460735352319221760;deny;past;neither;negative
225;1460735839533776900;deny;past;neither;negative
226;1460735941379772423;deny;past;neither;negative
227;1460736385233657856;deny;past;neither;negative
228;1460736462689820682;deny;past;neither;negative
229;1460738007703691268;deny;past;neither;negative
230;1460747608897605636;deny;present;neither;positive
231;1460801850509193217;deny;past;offensive_language;positive
232;1460817938844319747;deny;present;neither;negative
233;1460863759572865027;deny;future;offensive_language;negative
234;1460892494212874242;deny;future;offensive_language;negative
235;1460916755459629059;deny;future;neither;negative
236;1460935605697744898;deny;past;neither;negative
237;1460938742118682625;deny;past;offensive_language;negative
238;1460959301300744194;deny;past;neither;positive
239;1460974275393998852;deny;past;offensive_language;negative
240;1461008543348400139;deny;future;neither;positive
241;1461041178158280711;deny;present;offensive_language;negative
242;1461046414549606406;deny;future;offensive_language;negative
243;1461051589293056002;deny;present;neither;positive
244;1461052695029051392;deny;present;neither;positive
245;1461056107795861506;deny;future;neither;negative
246;1461073381076258817;deny;future;neither;negative
247;1461081979907104778;deny;future;neither;negative
248;1461113478085844998;deny;future;neither;negative
249;1461136025363824641;deny;present;neither;positive
250;1461137297274023937;deny;past;neither;negative
251;1461139462264692736;deny;future;neither;neutral
252;1461155609852751874;deny;past;offensive_language;positive
253;1461168095553363980;deny;past;neither;neutral
254;1461234632893120524;deny;future;neither;neutral
255;1461291050681704457;deny;present;offensive_language;negative
256;1461294261127856135;deny;past;neither;negative
257;1461303368090062850;deny;present;neither;neutral
258;1461307273935044612;deny;past;offensive_language;negative
259;1461311578092052480;deny;past;offensive_language;neutral
260;1461325550514053132;deny;past;offensive_language;positive
261;1461334849252429828;deny;present;neither;positive
262;1461341499963158533;deny;present;offensive_language;positive
263;1461362199629234177;deny;present;neither;negative
264;1461373594911444997;deny;future;neither;neutral
265;1461373764944506880;deny;future;neither;positive
266;1461381277496401922;deny;past;neither;neutral
267;1461429023859425280;deny;past;offensive_language;positive
268;1461483806125404161;deny;past;neither;negative
269;1461492855533449218;deny;past;neither;negative
270;1461495739570434048;deny;past;offensive_language;negative
271;1461495754573463554;deny;past;offensive_language;positive
272;1461497292280631296;deny;past;offensive_language;negative
273;1461497609630138372;deny;future;neither;negative
274;1461519647098880000;deny;future;offensive_language;negative
275;1461541328538386432;deny;present;neither;negative
276;1461574597044850690;deny;future;neither;negative
277;1461619573023780866;deny;past;neither;positive
278;1461670603400884227;deny;past;neither;negative
279;1461683229656817666;deny;present;neither;negative
280;1461722295857258497;deny;past;neither;neutral
281;1461728531680010240;deny;future;neither;positive
282;1461750161231728644;deny;past;neither;negative
283;1461756037636231168;deny;past;neither;negative
284;1461787693843681287;deny;past;offensive_language;positive
285;1461790308987981831;deny;past;neither;neutral
286;1461793816441151498;deny;past;offensive_language;negative
287;1461815692466872320;deny;past;neither;negative
288;1461908008112476171;deny;present;neither;negative
289;1461946303907188737;deny;future;neither;neutral
290;1461946845853368320;deny;past;offensive_language;negative
291;1461968445403058185;deny;present;neither;positive
292;1462011638610018315;deny;future;neither;positive
293;1462011645505507329;deny;present;offensive_language;neutral
294;1462011647556521985;deny;past;offensive_language;positive
295;1462023082361696266;deny;present;neither;negative
296;1462035242378747911;deny;future;neither;negative
297;1462036288320811015;deny;present;neither;positive
298;1462048928317202436;deny;present;neither;negative
299;1462090963375906828;deny;past;neither;positive
300;1462095306154147843;deny;past;neither;neutral
301;1462143401323868161;deny;present;neither;negative
302;1462144202171731971;deny;past;neither;neutral
303;1462166881511493637;deny;future;neither;negative
304;1462178000103952388;deny;future;offensive_language;negative
305;1462185346830114828;deny;present;neither;positive
306;1462185906782224393;deny;future;hate_speech;negative
307;1462198434887188487;deny;past;hate_speech;negative
308;1462201071728611331;deny;past;neither;negative
309;1462310626450186245;deny;past;neither;neutral
310;1462317098789707777;deny;future;offensive_language;neutral
311;1462322022973775879;deny;past;neither;positive
312;1462326689673981953;deny;present;neither;neutral
313;1462328527357980674;deny;future;neither;neutral
314;1467460768790679555;deny;past;offensive_language;neutral
315;1467466057384443907;deny;future;neither;positive
316;1467599340277583872;deny;past;neither;neutral
317;1467606731437973504;deny;past;offensive_language;negative
318;1467619445292118019;deny;present;neither;positive
319;1467684127847723012;deny;past;neither;positive
320;1467751618212937729;deny;present;offensive_language;neutral
321;1467756004850995202;deny;past;neither;neutral
322;1467772841642840068;deny;past;neither;positive
323;1467847369043677189;deny;future;neither;neutral
324;1467887205066711046;deny;past;offensive_language;negative
325;1467905626537873409;deny;future;offensive_language;negative
326;1467945799795499014;deny;present;offensive_language;positive
327;1468053297579888644;deny;past;neither;neutral
328;1468054336345362435;deny;present;neither;neutral
329;1468061059617640450;deny;present;offensive_language;positive
330;1468086923839389696;deny;past;offensive_language;negative
331;1468112529666805761;deny;present;neither;neutral
332;1468112727906398212;deny;present;neither;negative
333;1468183199910088705;deny;past;neither;neutral
334;1468183985519951876;deny;past;offensive_language;positive
335;1468185910915125252;deny;present;neither;positive
336;1468188979744821252;deny;past;offensive_language;negative
337;1468190595076165632;deny;future;offensive_language;positive
338;1468213973799645189;deny;future;neither;neutral
339;1468216013699309572;deny;past;neither;neutral
340;1468236257167912973;deny;future;offensive_language;negative
341;1468257230512222212;deny;future;neither;positive
342;1468258309245448192;deny;past;neither;neutral
343;1468297971611566081;deny;present;neither;positive
344;1468302983393906691;deny;past;hate_speech;negative
345;1468344875045302272;deny;future;neither;positive
346;1468360913971388417;deny;future;neither;negative
347;1468370613475631111;deny;future;neither;negative
348;1468373241261486084;deny;present;neither;positive
349;1468375018841145347;deny;past;neither;neutral
350;1468389208108658691;deny;past;neither;neutral
351;1468430518530105355;deny;past;neither;negative
352;1468431333798158337;deny;past;neither;negative
353;1468477434324467713;deny;past;neither;neutral
354;1468493006525317125;deny;future;neither;negative
355;1468567085085347842;deny;future;neither;negative
356;1468599979845455875;deny;past;offensive_language;negative
357;1468600965339258887;deny;future;neither;positive
358;1468602006357037059;deny;future;neither;positive
359;1468608064194547720;deny;past;offensive_language;positive
360;1468609479482785792;deny;past;neither;negative
361;1468621364558921729;deny;past;neither;positive
362;1468623812308705287;deny;future;neither;negative
363;1468627926216282123;deny;future;neither;neutral
364;1468640293939519498;deny;future;neither;negative
365;1468659377179668482;deny;past;offensive_language;neutral
366;1468682597614059520;deny;past;neither;negative
367;1468702940949057545;deny;future;neither;neutral
368;1468714567249186819;deny;present;neither;neutral
369;1468716614686232576;deny;past;neither;negative
370;1468722663401086986;deny;future;neither;negative
371;1468758753868599301;deny;future;neither;negative
372;1468777794410844164;deny;present;neither;negative
373;1468790469777838090;deny;future;neither;positive
374;1468896113499508740;deny;present;offensive_language;negative
375;1468913453607919620;deny;present;offensive_language;negative
376;1468926046481399811;deny;past;offensive_language;neutral
377;1468931896344260615;deny;past;neither;negative
378;1468943962463420429;deny;future;offensive_language;positive
379;1468976127968518152;deny;past;offensive_language;negative
380;1468980751106560005;deny;future;neither;negative
381;1469009415634313224;deny;future;neither;negative
382;1469076733592748042;deny;future;neither;neutral
383;1469123129859530764;deny;future;neither;negative
384;1469140605343354888;deny;future;neither;negative
385;1469233932944109569;deny;future;neither;neutral
386;1469240558963113984;deny;past;offensive_language;negative
387;1469249070254280707;deny;present;neither;negative
388;1469303840654573569;deny;past;offensive_language;positive
389;1469321189617188872;deny;present;offensive_language;positive
390;1469338289484275718;deny;present;neither;positive
391;1469356818723975177;deny;future;neither;neutral
392;1469470735060148224;deny;future;neither;negative
393;1469554979975401472;deny;present;offensive_language;negative
394;1469592286954770435;deny;past;neither;positive
395;1469595353511047175;deny;future;neither;positive
396;1469619954118893571;deny;future;neither;negative
397;1469652192823025665;deny;past;neither;positive
398;1469662273710919681;deny;future;neither;negative
399;1469713360853905409;deny;future;offensive_language;positive
400;1469717021197840391;deny;future;offensive_language;positive
401;1469727500364173316;deny;past;neither;positive
402;1469730552513191947;deny;past;neither;neutral
403;1469732036239929350;deny;future;offensive_language;positive
404;1469735502408568835;deny;past;neither;negative
405;1469741021089173511;deny;present;neither;positive
406;1469747844995325953;deny;past;offensive_language;negative
407;1469748479522222082;deny;present;hate_speech;negative
408;1469760064139321351;deny;future;neither;neutral
409;1469770589359546371;deny;present;neither;negative
410;1469774458311352333;deny;present;neither;positive
411;1469774685600583685;deny;present;offensive_language;negative
412;1469779681444569090;deny;future;offensive_language;negative
413;1469792664119918594;deny;past;hate_speech;negative
414;1469814638414123010;deny;past;neither;negative
415;1469825851806019586;deny;past;offensive_language;neutral
416;1469826600527187977;deny;past;neither;neutral
417;1469830168827072513;deny;future;offensive_language;positive
418;1469842971260502023;deny;future;offensive_language;positive
419;1469846717910507521;deny;past;neither;neutral
420;1469847099122798593;deny;future;neither;neutral
421;1469848138827517955;deny;present;offensive_language;negative
422;1469849741638864900;deny;future;neither;positive
423;1469850221022785541;deny;past;offensive_language;negative
424;1469851900962959361;deny;past;offensive_language;negative
425;1469852392040452097;deny;present;neither;neutral
426;1469853929047351297;deny;present;neither;neutral
427;1469861272124628999;deny;past;offensive_language;positive
428;1469865666467356676;deny;present;neither;positive
429;1469866724921073666;deny;future;neither;negative
430;1469870182898229252;deny;future;offensive_language;neutral
431;1469870978427727872;deny;present;offensive_language;neutral
432;1469877872747757571;deny;past;offensive_language;negative
433;1469880934837239808;deny;future;offensive_language;negative
434;1469883437213306881;deny;future;neither;neutral
435;1469887623158247425;deny;past;offensive_language;neutral
436;1469891846516137990;deny;future;neither;neutral
437;1469895696031444994;deny;past;neither;negative
438;1469898075548577797;deny;past;neither;positive
439;1469898886932271105;deny;present;neither;positive
440;1469914282666115074;deny;future;neither;positive
441;1469916136003321857;deny;future;offensive_language;positive
442;1469918651063013382;deny;past;offensive_language;neutral
443;1469924874919497730;deny;past;neither;negative
444;1469924964165775363;deny;future;neither;neutral
445;1469929426523725825;deny;future;neither;positive
446;1469932532460314624;deny;future;offensive_language;positive
447;1469945688813363210;deny;past;offensive_language;positive
448;1469973371999821830;deny;past;offensive_language;negative
449;1469978107998310411;deny;present;offensive_language;positive
450;1469995558542708737;deny;future;neither;positive
451;1469998704581136384;deny;future;neither;neutral
452;1470003671622721537;deny;future;offensive_language;neutral
453;1470005103197401093;deny;future;offensive_language;positive
454;1470006835721740299;deny;future;neither;neutral
455;1470011429897965568;deny;past;offensive_language;neutral
456;1470015662810714121;deny;future;neither;negative
457;1470016372709236739;deny;future;offensive_language;positive
458;1470019599517245450;deny;present;neither;positive
459;1470020279111929858;deny;future;offensive_language;negative
460;1470024057554935811;deny;past;neither;negative
461;1470031115415134211;deny;present;offensive_language;negative
462;1470033461591171075;deny;past;neither;positive
463;1470050950467690504;deny;past;offensive_language;negative
464;1470055051267772416;deny;past;neither;positive
465;1470056919054397576;deny;past;neither;negative
466;1470060583684751365;deny;present;neither;neutral
467;1470068515415760896;deny;past;hate_speech;negative
468;1470069941659394048;deny;present;neither;negative
469;1470075926968868867;deny;past;offensive_language;negative
470;1470082377263235079;deny;present;neither;positive
471;1470087884111851525;deny;future;offensive_language;positive
472;1470107536502231042;deny;future;neither;positive
473;1470112042392694784;deny;future;neither;negative
474;1470115235570667528;deny;past;hate_speech;positive
475;1470115297608667139;deny;past;offensive_language;negative
476;1470117535110545408;deny;future;neither;positive
477;1470126224542339073;deny;future;neither;positive
478;1470129470258307088;deny;present;neither;negative
479;1470159650221813766;deny;past;offensive_language;neutral
480;1470161208540082176;deny;future;neither;negative
481;1470162887448707076;deny;future;neither;neutral
482;1470164437931728899;deny;past;neither;positive
483;1470168089983655941;deny;present;neither;neutral
484;1470173008115515402;deny;past;neither;neutral
485;1470192229851357185;deny;past;neither;positive
486;1470193889239781377;deny;future;offensive_language;negative
487;1470201458998009856;deny;future;offensive_language;positive
488;1470217707274522626;deny;past;neither;neutral
489;1470218108191268864;deny;past;neither;neutral
490;1470223032216002561;deny;future;neither;positive
491;1470227429868384256;deny;future;neither;positive
492;1470236413555658753;deny;future;neither;positive
493;1470237012619776001;deny;future;offensive_language;neutral
494;1470269804137226244;deny;future;neither;positive
495;1470282851891306496;deny;past;offensive_language;negative
496;1470352916061949952;deny;present;neither;negative
497;1470354537697488903;deny;present;neither;positive
498;1470381723082911746;deny;future;neither;negative
499;1470394159110533125;deny;present;neither;neutral
500;1470397134327345152;deny;present;neither;neutral
501;1470405813869203457;deny;past;neither;negative
502;1470407740493291526;deny;past;neither;positive
503;1470410490404814858;deny;present;neither;negative
504;1470430786142810116;deny;past;offensive_language;neutral
505;1470437665115758593;deny;future;neither;neutral
506;1470438291136815110;deny;past;neither;negative
507;1470438662504599561;deny;present;neither;positive
508;1470445026383745030;deny;present;neither;negative
509;1470445646415077380;deny;future;offensive_language;negative
510;1470450584968957953;deny;future;neither;negative
511;1470452059732328454;deny;present;offensive_language;negative
512;1470457207078764546;deny;past;neither;negative
513;1470460194765299713;deny;present;neither;negative
514;1470466736969429004;deny;future;neither;negative
515;1470467349010472962;deny;future;neither;positive
516;1470498318555959311;deny;future;neither;positive
517;1470509552193851393;deny;present;offensive_language;negative
518;1470513376392474624;deny;future;neither;negative
519;1470532172457119748;deny;past;neither;positive
520;1470538768071413764;deny;past;offensive_language;negative
521;1470554079151722499;deny;present;neither;negative
522;1470554474141921284;deny;present;offensive_language;positive
523;1470556166782599169;deny;past;neither;positive
524;1470559808596201473;deny;past;neither;negative
525;1470576413514240007;deny;past;neither;negative
526;1470609731601371137;deny;past;neither;negative
527;1470611084042280962;deny;present;neither;positive
528;1470645084794363906;deny;past;offensive_language;neutral
529;1470686074984812544;deny;past;offensive_language;negative
530;1470721772697919488;deny;present;neither;negative
531;1470727107366076417;deny;past;offensive_language;negative
532;1470742429875716102;deny;present;hate_speech;negative
533;1470750240278032384;deny;past;neither;positive
534;1470757238646075395;deny;future;offensive_language;negative
535;1470759535606382592;deny;present;neither;neutral
536;1470776638891823105;deny;past;offensive_language;negative
537;1470785784735313927;deny;past;neither;positive
538;1470803269773520898;deny;future;offensive_language;positive
539;1470820264547999746;deny;past;neither;positive
540;1470823952930934785;deny;past;offensive_language;neutral
541;1470824593703251969;deny;present;neither;positive
542;1470827138936885262;deny;future;hate_speech;negative
543;1470843327998214148;deny;past;neither;negative
544;1470862382608130059;deny;past;neither;negative
545;1470874439277551624;deny;present;offensive_language;negative
546;1470908396815667200;deny;future;neither;neutral
547;1470915242154774535;deny;past;offensive_language;negative
548;1470917117688094728;deny;future;neither;negative
549;1470919338009968648;deny;present;offensive_language;negative
550;1470975194604867584;deny;past;neither;negative
551;1471032571882524672;deny;present;neither;negative
552;1471099525112950786;deny;future;neither;neutral
553;1471118983021666311;deny;past;neither;positive
554;1471119185820459009;deny;present;offensive_language;neutral
555;1471128310616842249;deny;past;neither;negative
556;1471148425123090434;deny;past;neither;positive
557;1471158903127908359;deny;present;neither;positive
558;1471172966146875393;deny;future;offensive_language;positive
559;1471176501202726926;deny;future;neither;neutral
560;1471205399785136128;deny;future;neither;positive
561;1471224374824947721;deny;present;neither;negative
562;1471251697347485704;deny;future;neither;neutral
563;1471281247594991619;deny;future;neither;negative
564;1471291400117383170;deny;present;neither;neutral
565;1471303301954248711;deny;future;neither;positive
566;1471451637629825032;deny;future;neither;neutral
567;1471452147942309890;deny;past;offensive_language;negative
568;1471477759193010183;deny;past;neither;negative
569;1471487960365338633;deny;past;offensive_language;positive
570;1471501219831042077;deny;future;neither;negative
571;1471522430690762752;deny;past;offensive_language;negative
572;1471553932405010439;deny;future;neither;negative
573;1471564224929406984;deny;future;neither;neutral
574;1471594616533274633;deny;past;neither;negative
575;1471595072978255875;deny;future;offensive_language;negative
576;1471595316583481348;deny;future;offensive_language;negative
577;1471596344783552514;deny;present;neither;negative
578;1471598630054289415;deny;present;neither;positive
579;1471610120496893953;deny;past;hate_speech;negative
580;1471620539932454927;deny;past;neither;negative
581;1471631911546068994;deny;present;offensive_language;negative
582;1471632067876298757;deny;past;offensive_language;positive
583;1471807308292411396;deny;present;neither;negative
584;1471838548294881293;deny;past;offensive_language;negative
585;1471840591675899913;deny;future;neither;negative
586;1471855727622897672;deny;past;neither;positive
587;1471866854826135556;deny;present;neither;negative
588;1472042352134918145;deny;present;neither;negative
589;1472131826093330438;deny;future;offensive_language;positive
590;1472221192262201346;deny;present;neither;positive
591;1472237213945630725;deny;past;offensive_language;positive
592;1472240115921653769;deny;future;neither;negative
593;1472240663328612353;deny;future;neither;negative
594;1472244437380214784;deny;future;neither;positive
595;1472346131178917889;deny;past;hate_speech;positive
596;1472353781211754496;deny;present;neither;negative
597;1472373820199739397;deny;past;neither;neutral
598;1472380096107487234;deny;past;neither;neutral
599;1472407840883023873;deny;past;neither;negative
600;1472487195386814467;deny;present;neither;neutral
601;1472529427405885446;deny;past;offensive_language;positive
602;1472538778937999360;deny;present;neither;positive
603;1472555015617318918;deny;past;neither;positive
604;1472580742357999618;deny;present;neither;positive
605;1472596607002677251;deny;present;neither;negative
606;1472615937094209539;deny;present;neither;positive
607;1472617366580350978;deny;present;neither;negative
608;1472621154347237382;deny;past;neither;negative
609;1472634291578310657;deny;present;neither;positive
610;1472635769265303557;deny;past;hate_speech;negative
611;1472679382560956420;deny;present;neither;negative
612;1472686406518640644;deny;past;offensive_language;negative
613;1472721223595474948;deny;past;offensive_language;negative
614;1472731413434671105;deny;future;offensive_language;negative
615;1472759406060351488;deny;past;offensive_language;negative
616;1472782602016808968;deny;future;neither;positive
617;1472885915513237509;deny;future;neither;neutral
618;1472919148678291458;deny;past;hate_speech;negative
619;1472924063085510659;deny;future;neither;positive
620;1472938745359962113;deny;past;neither;positive
621;1472950947840155650;deny;future;neither;neutral
622;1472973655428767749;deny;present;neither;negative
623;1472990593034903562;deny;future;neither;positive
624;1473013887494770689;deny;future;neither;positive
625;1473037035690733573;deny;past;offensive_language;positive
626;1473038245982318597;deny;future;neither;negative
627;1473054608058691585;deny;past;neither;negative
