tweetid;topic;hate;sentiment
1454029215083503621;mitigation;neither;positive
1454029073261363206;others;neither;neutral
1454028989249449991;mitigation;neither;positive
1454028525166632963;impact;neither;negative
1454028235625402370;others;neither;negative
1454027730983346182;rootcause;neither;negative
1454026758819237895;politics_and_policy;neither;neutral
1454025509671686144;others;neither;positive
1454025502298099712;mitigation;neither;neutral
1454025244910538754;politics_and_policy;neither;neutral
1454025222219313153;others;neither;neutral
1454025221699104770;mitigation;offensive_language;positive
1454025193777770502;mitigation;neither;neutral
1454024962621255682;mitigation;neither;positive
1454024562740498438;mitigation;neither;neutral
1445662429485010947;others;neither;neutral
1445658916889632771;mitigation;neither;positive
1445647730542481416;mitigation;neither;neutral
1445647248193245193;politics_and_policy;neither;neutral
1445646148765691905;politics_and_policy;neither;neutral
1445645695793303556;others;neither;positive
1454020579112148996;politics_and_policy;offensive_language;negative
1454020392809598976;mitigation;neither;positive
1454855893288378371;impact;neither;negative
1449246690355990531;politics_and_policy;neither;neutral
1448258702860070912;mitigation;neither;positive
1448255544892874754;others;neither;negative
1448255512634707968;rootcause;neither;negative
1457031775390105604;mitigation;neither;positive
1457031510867988484;others;neither;positive
1457030604248190985;rootcause;neither;negative
1457030577811513349;others;offensive_language;positive
1457030148470059012;mitigation;neither;positive
1457030055436107785;politics_and_policy;neither;negative
1457030038705090560;others;neither;neutral
1457030016319954946;impact;neither;negative
1457029532947558407;others;neither;neutral
1457028727171428354;impact;neither;negative
1457027970950959112;politics_and_policy;neither;negative
1457026536540819459;others;neither;neutral
1457026502369890319;others;neither;neutral
1457026447814664197;politics_and_policy;neither;neutral
1454987546396561408;mitigation;offensive_language;neutral
1454986131368464384;politics_and_policy;neither;neutral
1454985603062374404;politics_and_policy;neither;neutral
1454985580140498950;politics_and_policy;neither;neutral
1454985307934298115;politics_and_policy;neither;neutral
1454984070606331906;politics_and_policy;neither;neutral
1454983859041357829;politics_and_policy;offensive_language;neutral
1454983719970869250;others;neither;positive
1454983636256653312;mitigation;neither;neutral
1454981295491190786;impact;neither;negative
1454977768605687808;politics_and_policy;neither;negative
1454976775914721284;mitigation;offensive_language;neutral
1454976064371838976;mitigation;offensive_language;neutral
1454975446571966473;politics_and_policy;offensive_language;negative
1454973512569929731;others;neither;positive
1454973355547787269;others;offensive_language;negative
1454972482310610947;mitigation;neither;positive
1454971597757075457;mitigation;neither;positive
1457824454512365575;mitigation;offensive_language;neutral
1457823904618135552;mitigation;neither;positive
1457823240621944833;mitigation;neither;positive
1457822999013257216;mitigation;neither;positive
1457822737045487617;politics_and_policy;neither;neutral
1457822609958215680;politics_and_policy;neither;positive
1457822116582019077;politics_and_policy;neither;negative
1457821819654770691;others;neither;neutral
1457821677870481410;politics_and_policy;offensive_language;negative
1457820883167313922;impact;offensive_language;negative
1457820218730889223;others;neither;neutral
1457819971929710594;politics_and_policy;offensive_language;negative
1457818581064982532;politics_and_policy;neither;positive
1455593327945031681;politics_and_policy;neither;positive
1455592876319154183;others;neither;neutral
1455592813198987274;others;neither;neutral
1455592796732018688;others;offensive_language;neutral
1455592780701462529;mitigation;offensive_language;positive
1455592730218930185;mitigation;neither;positive
1455592524286873601;politics_and_policy;neither;neutral
1455592038557224961;rootcause;neither;negative
1455591858680307713;politics_and_policy;offensive_language;positive
1455591799913865220;others;neither;neutral
1455591596888571905;mitigation;neither;neutral
1455591283519590402;others;neither;neutral
1455590741842042883;mitigation;neither;positive
1455590486517878792;politics_and_policy;neither;positive
1455590484139720707;politics_and_policy;neither;neutral
1455590397531631624;others;neither;neutral
1455589813135020034;politics_and_policy;neither;neutral
1455589696420130816;politics_and_policy;neither;neutral
1455589685523357698;mitigation;neither;positive
1455589026967269377;mitigation;neither;positive
1455588763648811011;others;offensive_language;neutral
1455588633281548298;politics_and_policy;neither;positive
1455588627329675269;others;offensive_language;neutral
1463473901439275008;others;neither;neutral
1463473802944430085;others;neither;positive
1463473793045712897;others;neither;neutral
1463473648325566472;impact;neither;negative
1463473432813838336;politics_and_policy;neither;positive
1463471651379634178;politics_and_policy;neither;positive
1463471441807126532;others;neither;neutral
1463471215528779777;mitigation;offensive_language;positive
1463471096745893895;others;neither;neutral
1463470474558644224;others;neither;positive
1463470472415305728;others;neither;neutral
1463470194647605254;politics_and_policy;neither;neutral
1463467694246838275;others;offensive_language;positive
1463467474213642249;others;neither;positive
1463466724494397443;politics_and_policy;neither;neutral
1463466195688984578;politics_and_policy;offensive_language;negative
1463466173526425608;impact;neither;negative
1463464482706010122;others;neither;positive
1463463960481566722;impact;offensive_language;negative
1463463644121862148;mitigation;offensive_language;neutral
1463463157729574920;others;neither;neutral
1463462513975177217;others;neither;negative
1463462495847428096;mitigation;neither;positive
1339359920483946498;politics_and_policy;neither;neutral
1339359727671635970;politics_and_policy;neither;neutral
1339359402256605184;politics_and_policy;offensive_language;negative
1339358632077447168;others;neither;positive
1339357474638327809;mitigation;offensive_language;neutral
1339352886828941312;impact;offensive_language;negative
1339352690816630784;mitigation;neither;neutral
1339352036060610562;others;neither;neutral
1339351896335679490;others;neither;negative
1339350880517120000;politics_and_policy;neither;neutral
1339348445874716673;impact;neither;neutral
1339347658452787203;politics_and_policy;neither;neutral
1339347610541289477;mitigation;offensive_language;positive
1339345953770311680;politics_and_policy;neither;neutral
1339344737866801153;politics_and_policy;offensive_language;neutral
1339340824367292419;mitigation;neither;neutral
1339339481229357057;politics_and_policy;neither;neutral
1339339346025959425;mitigation;offensive_language;positive
1339337055344734211;impact;neither;negative
1338730478413770752;impact;neither;negative
1338728161484292098;politics_and_policy;neither;neutral
1338728001673031681;politics_and_policy;offensive_language;negative
1338725643538862081;rootcause;neither;negative
1338723919059058688;impact;neither;negative
1338718685649842176;mitigation;neither;positive
1338718639248195584;others;neither;neutral
1338718434490662912;impact;neither;negative
1338717329945993218;mitigation;offensive_language;positive
1338713143695040512;mitigation;neither;neutral
1338710418252972032;politics_and_policy;neither;neutral
1338710375949348865;politics_and_policy;neither;negative
1338706891401117696;mitigation;neither;positive
1338703050626588673;mitigation;neither;positive
1338699971122638849;politics_and_policy;neither;negative
1334871824535056391;others;offensive_language;neutral
1334871514072690689;impact;neither;negative
1334871482514731009;mitigation;neither;neutral
1334870591422263297;rootcause;neither;negative
1334870373620305921;others;neither;negative
1334870089917755393;politics_and_policy;neither;neutral
1334868012533428238;politics_and_policy;neither;negative
1334867556671352836;politics_and_policy;neither;neutral
1334867544180723714;impact;neither;negative
1334867474127478785;impact;neither;negative
1334866999101493249;politics_and_policy;neither;negative
1334866658431823873;impact;neither;negative
1334864410729439234;mitigation;neither;positive
1334864354894897153;impact;neither;negative
1334864340671983620;politics_and_policy;neither;neutral
1334862537158955008;politics_and_policy;neither;negative
1334862363426582529;politics_and_policy;neither;negative
1334860868706820099;others;neither;negative
1334860486618312704;politics_and_policy;neither;neutral
1334857733481385985;mitigation;neither;positive
1334857577419714560;rootcause;neither;negative
1334857277635956739;politics_and_policy;neither;positive
1336561198561718273;rootcause;neither;negative
1336560082864115716;mitigation;neither;positive
1336548907426394112;mitigation;neither;positive
1336548698206031873;others;neither;negative
1336541442777391109;rootcause;offensive_language;neutral
1336537795398164486;impact;neither;negative
1334954392529858564;impact;neither;negative
1334953346961203200;others;neither;neutral
1334952421345218560;politics_and_policy;neither;neutral
1334943662967578624;politics_and_policy;neither;positive
1339511058390773761;mitigation;offensive_language;positive
1339510925146152962;politics_and_policy;neither;neutral
1339510294419279872;others;neither;neutral
1339509538991566849;others;neither;positive
1339508887326654470;mitigation;neither;neutral
1339508773413654529;others;neither;positive
1339507081695670272;mitigation;offensive_language;positive
1339506962820706304;politics_and_policy;neither;neutral
1339506581629648897;others;neither;positive
1339506379959230464;mitigation;offensive_language;positive
1339503102752337922;mitigation;neither;positive
1339503068531056641;mitigation;neither;positive
1339502595912560645;others;neither;negative
1339501760969404417;politics_and_policy;neither;positive
1339501462536159233;mitigation;neither;positive
1339497812678074374;mitigation;neither;neutral
1339495693048799233;politics_and_policy;neither;neutral
1339495552938086401;mitigation;neither;positive
1339494337940512768;others;neither;positive
1340584801858949120;politics_and_policy;neither;neutral
1340582720355721216;mitigation;neither;neutral
1340569512375152641;politics_and_policy;offensive_language;negative
1334584037772587009;mitigation;neither;positive
1334582061982691328;politics_and_policy;neither;negative
1334575647147044868;mitigation;neither;neutral
1334575379068043265;rootcause;neither;neutral
1334573617569353728;mitigation;neither;positive
1334767735037956097;politics_and_policy;neither;neutral
1346728943798239232;impact;neither;negative
1346728208771796992;mitigation;neither;neutral
1346728207643410434;others;neither;neutral
1346727794919706624;others;neither;positive
1346727206333128704;others;offensive_language;positive
1346726609915576321;politics_and_policy;hate_speech;neutral
1346724450843168769;others;neither;positive
1346720641785819136;mitigation;hate_speech;positive
1349684568245346304;mitigation;neither;positive
1349682706817429504;politics_and_policy;neither;negative
1349681965411295232;mitigation;neither;positive
1349680720206245888;others;neither;neutral
1349680245436256257;mitigation;neither;positive
1349676432511832064;mitigation;neither;positive
1349676142274486273;others;neither;negative
1349674996428402688;others;neither;neutral
1349674734712094722;mitigation;neither;neutral
1349674536812355586;mitigation;neither;neutral
1349674296231260160;rootcause;neither;negative
1349673265988567042;mitigation;neither;positive
1349672630014644230;mitigation;offensive_language;positive
1349670201902723072;impact;neither;negative
1349667999389790210;others;neither;neutral
1345067322638278656;impact;neither;negative
1345060043532603392;politics_and_policy;neither;negative
1429396641640062978;politics_and_policy;offensive_language;positive
1345052950570348544;others;neither;negative
1345052171260186631;impact;neither;neutral
1345051321234120707;mitigation;offensive_language;neutral
1345049784864878596;politics_and_policy;offensive_language;neutral
1345049763411066881;politics_and_policy;neither;neutral
1345049679655006210;mitigation;offensive_language;positive
1345045931272540160;others;offensive_language;positive
1345044928863338496;mitigation;neither;positive
1345043523746361347;politics_and_policy;offensive_language;neutral
1345040631719198726;impact;neither;negative
1345040555604996096;others;neither;positive
1345040205049454600;mitigation;neither;neutral
1345039621609172993;others;offensive_language;positive
1349975856937017345;mitigation;neither;positive
1349974698046713856;mitigation;neither;neutral
1349974656082538500;others;offensive_language;negative
1349974623702700032;impact;neither;negative
1349974601468559361;politics_and_policy;neither;neutral
1349974487635255297;politics_and_policy;neither;neutral
1349972097896902656;others;offensive_language;neutral
1349963886007517184;mitigation;neither;positive
1349963773776314369;politics_and_policy;neither;neutral
1349963248020443136;mitigation;neither;neutral
1349957737124343810;mitigation;neither;positive
1349956266999865346;politics_and_policy;neither;negative
1349953415439269911;others;neither;positive
1349952728001249281;impact;neither;negative
1349952157592727552;others;neither;positive
1347149328297594880;mitigation;neither;positive
1347148266148917248;impact;neither;negative
1347146765284175873;politics_and_policy;neither;negative
1347146362442436609;impact;offensive_language;negative
1347145934191403008;others;neither;neutral
1347145788283973633;politics_and_policy;neither;positive
1347145015622045702;others;offensive_language;neutral
1347143263656898560;impact;neither;negative
1347140676681670658;others;neither;neutral
1347139083907301378;mitigation;neither;positive
1347137772264554496;mitigation;neither;neutral
1347136964223524865;impact;neither;negative
1347136598081740800;others;neither;neutral
1347136259257495552;politics_and_policy;neither;positive
1347134775082029057;others;neither;positive
1347133093153439747;politics_and_policy;neither;neutral
1347131739123011585;mitigation;neither;positive
1347131119465066497;politics_and_policy;neither;negative
1347130582917066754;others;neither;neutral
1347130177227083777;mitigation;neither;positive
1347127337163182088;impact;neither;negative
1347127269219827713;mitigation;neither;neutral
1355302139157876736;impact;neither;negative
1355301898232815616;others;neither;neutral
1355300101963476994;politics_and_policy;neither;neutral
1355297321559310336;politics_and_policy;offensive_language;negative
1355297170950336519;mitigation;neither;neutral
1355296924828635139;mitigation;offensive_language;positive
1355296455628447744;politics_and_policy;offensive_language;neutral
1355294695035990019;mitigation;neither;negative
1355292942798381058;impact;neither;negative
1355292903724249089;politics_and_policy;neither;neutral
1355290341864316929;politics_and_policy;neither;neutral
1355286348798644228;others;neither;neutral
1355284606044483592;others;neither;negative
1370435702299754507;politics_and_policy;neither;negative
1370435428906541057;impact;neither;neutral
1370435148878057474;others;offensive_language;negative
1370434870825029633;others;neither;positive
1370434823349669888;impact;neither;negative
1370434614720798720;others;neither;neutral
1370434508319825923;others;neither;neutral
1370434440011341834;impact;neither;negative
1370434420113608704;mitigation;neither;neutral
1370434161639444483;rootcause;neither;negative
1370432408940650503;others;offensive_language;negative
1370432182200770564;others;neither;neutral
1370424369172910084;politics_and_policy;neither;positive
1369680700551598080;mitigation;neither;positive
1369679584552189953;politics_and_policy;neither;negative
1369677468689457161;others;neither;neutral
1369675566509654022;others;neither;neutral
1369672466520551424;rootcause;offensive_language;negative
1369665933153812485;others;neither;neutral
1367248786117042180;others;neither;neutral
1367233330257793025;mitigation;neither;negative
1367233178927321090;impact;neither;negative
1369747791409541126;impact;neither;negative
1369745603656376322;rootcause;neither;negative
1369738095151693832;others;neither;neutral
1373921854352621568;rootcause;neither;neutral
1373914811742961664;politics_and_policy;offensive_language;negative
1373910820304736260;others;neither;neutral
1368184599545806849;impact;neither;negative
1374550152225058826;mitigation;neither;positive
1374522358007001088;mitigation;offensive_language;neutral
1375057375644819456;others;neither;neutral
1372215696097210377;impact;neither;negative
1372212037468749835;mitigation;neither;positive
1377153901246304258;mitigation;neither;positive
1377153891058413571;mitigation;neither;neutral
1377153874256044033;mitigation;neither;neutral
1377148327364456448;others;neither;neutral
1377147169916870669;others;offensive_language;neutral
1377146964224057344;others;neither;neutral
1377146480889225218;others;neither;neutral
1377144774788968455;rootcause;neither;negative
1377144616151965698;others;neither;neutral
1377144126496407568;others;neither;neutral
1377139932628541445;others;neither;positive
1377139858683043845;politics_and_policy;neither;positive
1377138762640060417;politics_and_policy;neither;neutral
1377138592758173704;others;neither;neutral
1377136629282840585;impact;neither;negative
1377132633155497989;impact;neither;neutral
1377131679463038980;mitigation;neither;neutral
1377313743172866050;rootcause;neither;negative
1377312761387094018;others;neither;positive
1377311323755798531;mitigation;neither;neutral
1377311275013799937;impact;neither;negative
1377311228951998468;mitigation;neither;neutral
1377310457317392384;others;offensive_language;negative
1377309977451331586;others;neither;neutral
1377309747842441217;others;offensive_language;positive
1377309612286746624;rootcause;neither;negative
1377309121712582665;impact;neither;negative
1377308495817609217;others;neither;neutral
1377307775399817223;mitigation;neither;neutral
1377307651617480708;others;neither;positive
1377307245097193477;mitigation;neither;neutral
1377307065702567940;others;neither;neutral
1377306431997812739;politics_and_policy;neither;positive
1377305091041067014;mitigation;offensive_language;neutral
1377303491828416514;others;offensive_language;neutral
1377303420919558145;politics_and_policy;neither;positive
1377303297510363138;impact;neither;negative
1377302742658584576;mitigation;neither;positive
1377301460736704519;others;neither;positive
1377300943050539014;others;offensive_language;neutral
1377300875505438735;others;neither;positive
1377299954352394240;impact;neither;negative
1377299650462556163;mitigation;neither;neutral
1377299394014277634;others;neither;positive
1377297725373480967;mitigation;neither;neutral
1366358626181480448;mitigation;neither;neutral
1366357648308756488;mitigation;neither;positive
1366356545437630467;others;neither;neutral
1366355908624863234;others;neither;positive
1366355117226737664;others;neither;negative
1366353137498542084;mitigation;neither;positive
1366352782664597506;others;neither;positive
1366352770777968643;rootcause;offensive_language;negative
1366352718395277313;rootcause;neither;negative
1366352712804290560;others;offensive_language;neutral
1366350992330133504;mitigation;neither;neutral
1366350937657397250;mitigation;neither;positive
1366350308276846600;impact;offensive_language;negative
1370435428906541057;impact;neither;negative
1377093098929446913;impact;neither;negative
1366856825560252418;mitigation;neither;neutral
1366856003925520388;others;offensive_language;positive
1366852176954478596;others;neither;positive
1366845364431691777;impact;neither;negative
1366844779737325570;impact;neither;negative
1375361488022540291;rootcause;neither;negative
1375357881600593922;rootcause;neither;neutral
1375355982981652482;others;neither;neutral
1375350530243977217;impact;neither;negative
1372278090966036481;mitigation;neither;neutral
1372276841457782785;impact;offensive_language;negative
1366561066621095947;rootcause;neither;negative
1366726290552709122;others;neither;positive
1367694112477114369;others;neither;neutral
1367679952166948869;mitigation;neither;positive
1375378843431809026;others;neither;positive
1375376583985348609;mitigation;neither;neutral
1373600072278085632;others;neither;neutral
1375776076631207938;impact;neither;negative
1375775614309896193;impact;neither;negative
1375766018086199298;others;neither;positive
1367218590458540032;politics_and_policy;neither;positive
1367212677274071041;politics_and_policy;neither;positive
1367210831423938560;others;neither;neutral
1374481211297386501;mitigation;neither;positive
1369286427435954191;rootcause;neither;negative
1372162930184224779;others;neither;neutral
1372151115387654146;rootcause;neither;negative
1369510575579963393;others;hate_speech;positive
1371851601720315912;impact;neither;negative
1371849966700924939;impact;neither;negative
1371844285994299393;impact;neither;negative
1371842567491452941;mitigation;neither;neutral
1371842461132279812;mitigation;neither;positive
1371840158052589569;impact;neither;negative
1367520746227044353;others;neither;neutral
1367512815171346432;mitigation;neither;neutral
1366230239009980417;mitigation;offensive_language;positive
1366226051328860161;others;offensive_language;negative
1366189190472368128;impact;offensive_language;negative
1371460412059889666;mitigation;neither;positive
1371460303343472644;others;neither;positive
1371457423727337477;others;offensive_language;neutral
1369102230553567233;others;neither;positive
1369085619360600065;impact;offensive_language;negative
1370645928487612418;others;offensive_language;positive
1370624567698395137;others;offensive_language;positive
1370618364234592260;mitigation;neither;positive
1370320900940296193;mitigation;neither;positive
1370319432560574468;others;neither;positive
1370307633249406979;rootcause;neither;negative
1370307208374812673;mitigation;neither;positive
1370306455325249536;mitigation;offensive_language;neutral
1370302499517652992;mitigation;offensive_language;neutral
1370298835851997184;impact;neither;negative
1377014044830355456;impact;neither;negative
1376999529321529344;impact;neither;negative
1376997098042884100;politics_and_policy;neither;neutral
1376995651213479943;impact;neither;negative
1376429251990335488;impact;neither;negative
1375821107937353730;others;neither;positive
1367990833115463682;impact;offensive_language;negative
1374141069613359104;mitigation;neither;positive
1374138256158232585;rootcause;neither;negative
1374133052851552258;impact;neither;negative
1374127061477040144;others;neither;neutral
1374126146896412678;others;neither;positive
1374125309092536324;impact;neither;negative
1375436053105016833;others;neither;neutral
1375436015993679875;others;neither;neutral
1375435430632513545;impact;offensive_language;negative
1375795063977078794;others;neither;positive
1375787435884376071;impact;offensive_language;negative
1375785213066887171;mitigation;neither;positive
1368131754247208960;rootcause;neither;negative
1368122927527325696;impact;neither;negative
1368109460347052033;others;neither;neutral
1368109132729966592;mitigation;neither;positive
1375040253979979776;mitigation;neither;positive
1375030787406462976;others;neither;neutral
1366655786257104896;others;neither;positive
1366641414340157442;mitigation;offensive_language;neutral
1366632839043710978;mitigation;neither;neutral
1375310688051167233;mitigation;neither;positive
1375306292974166018;impact;neither;neutral
1375305132708134912;mitigation;neither;positive
1375296207044538372;others;neither;negative
1376681073548136450;impact;neither;negative
1370442736848015361;impact;neither;negative
1373334884429803524;impact;neither;negative
1375641882102001670;politics_and_policy;neither;positive
1375633438775119872;politics_and_policy;neither;positive
1375618714742165506;politics_and_policy;neither;neutral
1372027410254856195;impact;neither;negative
1372021126537347077;impact;neither;negative
1372002421635911683;mitigation;neither;neutral
1370374057477160961;impact;neither;negative
1370374025109639171;impact;neither;negative
1367086100582305800;impact;neither;negative
1367082622485078021;impact;neither;negative
1367082325444616192;mitigation;neither;positive
1367077722279845888;politics_and_policy;neither;positive
1370181768930758657;mitigation;neither;neutral
1370149255021621252;politics_and_policy;neither;neutral
1366436904640643077;impact;neither;negative
1366433602867724292;others;offensive_language;positive
1367473912779571201;rootcause;neither;negative
1370828347253592067;others;offensive_language;neutral
1370827768259358721;impact;neither;negative
1370807388043808769;others;neither;neutral
1370804546805587969;impact;neither;negative
1367197478995578884;impact;offensive_language;negative
1366366906991714308;others;neither;positive
1376963196821594115;mitigation;offensive_language;positive
1373503391834333190;impact;neither;negative
1373502880871682050;mitigation;neither;neutral
1373500855140245505;mitigation;neither;positive
1373492073756758016;others;neither;neutral
1373487454292832256;others;offensive_language;positive
1368793172080422912;impact;neither;negative
1368789894529703938;rootcause;neither;negative
1368788570937393153;impact;neither;negative
1368763228864544768;impact;neither;negative
1367122387750313986;impact;neither;negative
1367117897970184193;rootcause;neither;neutral
1367117841502208002;mitigation;neither;positive
1366774488998756365;others;neither;neutral
1366765247541878784;politics_and_policy;neither;neutral
1368366947897909253;mitigation;neither;positive
1368365785438126083;mitigation;neither;neutral
1373024417857511424;impact;offensive_language;negative
1373023276646203394;mitigation;neither;neutral
1373018151751802881;mitigation;neither;neutral
1372804871569612800;impact;neither;negative
1366748218411909122;mitigation;neither;positive
1374200535876796417;impact;neither;negative
1374197016096481280;impact;neither;negative
1374193596300136449;impact;neither;negative
1374192174208802816;mitigation;neither;neutral
1374191904431083520;impact;neither;negative
1374191167491899397;others;neither;neutral
1374189405880000512;mitigation;offensive_language;neutral
1374179818237923337;impact;neither;negative
1372435180649074690;mitigation;neither;positive
1376608175990960144;mitigation;neither;positive
1376605820192915456;impact;neither;negative
1374312763909099524;others;neither;negative
1374308226901147655;impact;neither;negative
1375661367525584896;impact;neither;negative
1375657483268726790;impact;neither;negative
1366260239792672769;impact;neither;negative
1370026113158635520;rootcause;offensive_language;neutral
1370022999303147525;impact;neither;negative
1370015580904955907;others;offensive_language;neutral
1370012558023872524;impact;neither;negative
1370012217790263298;impact;neither;negative
1376807260408619009;impact;neither;negative
1373982900434182159;mitigation;neither;positive
1373979210885206030;impact;neither;negative
1373972000708907009;others;offensive_language;positive
1373971098182750211;others;neither;positive
1375109624383217671;impact;offensive_language;negative
1373424639863496707;others;neither;positive
1371549394546388992;others;neither;positive
1371545982610116609;impact;neither;negative
1373992262535938053;impact;neither;negative
1373986158305153039;impact;neither;negative
1373985812791054339;impact;neither;negative
1373985443696508928;impact;neither;negative
1373985311038971910;impact;neither;negative
1366945400473575426;impact;neither;negative
1366477772382752777;impact;neither;negative
1366475847931203589;others;neither;neutral
1366887299812896768;impact;neither;negative
1366886293133815808;others;offensive_language;neutral
1375553780951961606;politics_and_policy;neither;positive
1375900452525645826;mitigation;neither;positive
1369060799088635909;others;neither;neutral
1369049568290111491;others;neither;neutral
1376414606009241603;impact;neither;negative
1372200435839287296;others;neither;neutral
1372198571055923204;politics_and_policy;neither;neutral
1372193602839965699;others;neither;neutral
1372188925213696006;impact;neither;negative
1372187387451740162;rootcause;neither;negative
1372187303909617667;mitigation;neither;positive
1376449013847896065;others;neither;positive
1376446232311250944;mitigation;neither;positive
1372487769155538949;impact;neither;negative
1372479987140411393;impact;neither;neutral
1375075116242075651;impact;neither;negative
1375070078186700807;others;neither;positive
1375067177489944580;impact;hate_speech;negative
1376861324521652227;others;neither;neutral
1376857092343087104;impact;neither;negative
1376854580437336064;impact;neither;negative
1376851171340656642;mitigation;neither;positive
1376848488307306500;mitigation;neither;positive
1366439400679354370;others;neither;neutral
1368652851334025221;mitigation;neither;positive
1368650819713765380;impact;neither;negative
1368639838342184961;impact;neither;negative
1369729628030517252;impact;neither;negative
1369725921427476482;impact;neither;negative
1366811579187154946;impact;neither;negative
1366808041325277192;impact;neither;negative
1371744934810763270;impact;neither;neutral
1375126301917462529;impact;neither;negative
1370214464054771713;impact;neither;negative
1375484942533136386;impact;offensive_language;neutral
1375484632146321411;impact;offensive_language;negative
1376987755780190212;others;offensive_language;positive
1376983337710059528;impact;offensive_language;negative
1376978407846780932;impact;neither;negative
1367546505427623944;others;offensive_language;negative
1376797576087924737;mitigation;offensive_language;neutral
1376776068326023172;others;offensive_language;neutral
1372100964807802882;others;offensive_language;positive
1376542006915268611;impact;neither;negative
1374715111638765568;mitigation;neither;positive
1371947864415342597;impact;neither;negative
1374600841416515585;impact;neither;negative
1374566352388784128;mitigation;neither;neutral
1374564143718670337;others;neither;neutral
1374226644777328640;others;neither;positive
1374226313540562948;others;neither;neutral
1374217044611145729;others;neither;negative
1375100167238586375;rootcause;neither;neutral
1375095045968302089;impact;neither;negative
1374347485280313354;others;offensive_language;positive
1374344627436802051;others;neither;neutral
1367929155954872326;impact;neither;negative
1371282518616518658;mitigation;neither;positive
1368962611828695042;impact;neither;negative
1374403091680784389;politics_and_policy;neither;neutral
1374418338353319939;impact;neither;negative
1374391147200532485;impact;neither;negative
1374389680825798662;mitigation;neither;neutral
1367712609147875328;others;neither;neutral
1366789249715027968;others;neither;neutral
1366784794063994880;others;neither;neutral
1366784147071631363;others;offensive_language;neutral
1374914433386827776;impact;neither;negative
1374913426703585282;politics_and_policy;neither;neutral
1374909117442138114;impact;neither;negative
1370066992355442688;impact;neither;negative
1370065629278003200;others;neither;neutral
1376567015561920515;impact;neither;negative
1369966118509629441;impact;neither;negative
1374361356883922948;others;neither;neutral
1374356007443382274;impact;neither;negative
1372470291004338177;impact;neither;negative
1372470096380055555;mitigation;neither;positive
1372460390425169920;impact;neither;neutral
1371219810802089993;others;neither;neutral
1374340716525146115;impact;neither;negative
1374337675717713926;impact;neither;negative
1374337659125043207;others;neither;neutral
1374330196975882245;others;neither;neutral
1375216435849523210;others;neither;neutral
1375215429694722048;impact;neither;negative
1371802206257647618;impact;neither;negative
1371795471954542594;politics_and_policy;neither;neutral
