;tweetid;topic;stance;hate;sentiment
230;1201074337719169024;2;1.0;offensive_language;positive
231;1204430195966513153;2;1.0;neither;positive
232;1205199020517408774;1;1.0;neither;negative
233;1201482425773285377;2;1.0;offensive_language;negative
234;1201029441557712896;1;0.0;neither;neutral
235;1202226914737475585;2;0.0;neither;negative
236;1201642968332980224;1;-1.0;neither;positive
237;1201048882005860353;1;1.0;offensive_language;negative
238;1203561303647891458;2;1.0;neither;positive
239;1201010590539497472;2;1.0;neither;neutral
240;1203435431645179904;2;1.0;neither;negative
241;1202745992921145344;2;1.0;neither;positive
242;1203860787225333760;1;1.0;neither;positive
243;1203941860902752256;1;1.0;neither;negative
244;1204048230209613824;1;1.0;neither;positive
245;1203991895225044992;2;1.0;neither;positive
246;1205539494528765953;2;1.0;neither;neutral
247;1202692899084754944;2;1.0;neither;negative
248;1201027129523265536;4;1.0;neither;positive
249;1205055928611098624;2;1.0;neither;negative
250;1202259280210083840;4;0.0;neither;positive
251;1202321021921103872;2;1.0;offensive_language;negative
252;1205161988717891584;1;1.0;neither;positive
253;1202648980569706496;1;1.0;offensive_language;negative
254;1202410707683135488;2;1.0;neither;positive
255;1204531330534522880;1;1.0;neither;negative
256;1204777787942490115;1;1.0;offensive_language;negative
257;1204457043161231362;1;1.0;neither;positive
258;1204571464277512192;5;1.0;offensive_language;negative
259;1204916154055020544;1;-1.0;neither;negative
260;1201487341183029249;4;1.0;neither;positive
261;1205556490993643520;1;1.0;neither;positive
262;1200994047336173568;1;1.0;offensive_language;neutral
263;1202910836651638785;1;1.0;offensive_language;positive
264;1201056978442829824;1;1.0;neither;negative
265;1203224867115425792;1;1.0;offensive_language;negative
266;1201049192015257603;1;1.0;neither;positive
267;1205189991560810497;2;1.0;hate_speech;negative
268;1203082147646595074;4;1.0;offensive_language;negative
269;1204700701009428480;2;1.0;offensive_language;negative
270;1203052743004508166;1;1.0;neither;negative
271;1201914225955889152;1;1.0;neither;positive
272;1204039236858634245;1;1.0;offensive_language;positive
273;1205422620302356480;1;0.0;offensive_language;negative
274;1201072253510803456;1;1.0;neither;positive
275;1202905823095201793;1;0.0;offensive_language;negative
276;1201001882107334657;1;1.0;offensive_language;negative
277;1204958315509407745;1;1.0;offensive_language;positive
278;1204694700604698624;2;1.0;neither;negative
279;1201358183794642944;5;1.0;neither;negative
280;1204674377268285440;2;1.0;neither;positive
281;1200996950126080001;1;1.0;neither;neutral
282;1201072597846384640;1;1.0;neither;positive
283;1200951661323120641;2;1.0;offensive_language;neutral
284;1203322877715419144;1;0.0;offensive_language;negative
285;1205565632407752709;5;-1.0;neither;positive
286;1202299918649626631;4;1.0;neither;negative
287;1201071849251254279;2;0.0;offensive_language;negative
288;1205378012641927169;1;1.0;neither;negative
289;1204415830978523139;2;1.0;neither;negative
290;1203011119394250753;1;1.0;neither;positive
291;1204513515970682880;1;1.0;neither;negative
292;1204954296082546689;2;1.0;offensive_language;negative
293;1202991726929035264;1;1.0;offensive_language;negative
294;1205547175461236737;2;1.0;offensive_language;positive
295;1203956671216701441;1;0.0;neither;positive
296;1204636261987827712;1;0.0;neither;negative
297;1204411377848213505;1;1.0;neither;neutral
298;1204453466074238977;1;1.0;offensive_language;negative
299;1204978333827698689;1;-1.0;hate_speech;neutral
300;1202659431139332096;2;1.0;neither;negative
301;1203746929332633600;2;1.0;neither;negative
302;1203898677418442753;1;0.0;neither;neutral
303;1201843050890305536;1;1.0;neither;positive
304;1205553552741064704;1;1.0;offensive_language;negative
305;1203281446166810624;1;1.0;offensive_language;neutral
306;1203368796968366080;2;1.0;neither;positive
307;1200932615760445440;5;-1.0;offensive_language;neutral
308;1200934332455694336;5;1.0;neither;neutral
309;1205466948991160320;1;-1.0;neither;negative
310;1203800953754804224;1;1.0;neither;negative
311;1203303702112735237;3;1.0;neither;positive
312;1200976248308150272;1;-1.0;neither;negative
313;1205519762039672832;1;1.0;neither;neutral
314;1204430747727253505;1;-1.0;neither;neutral
315;1204614212036808708;1;1.0;offensive_language;positive
316;1204045309636235264;1;1.0;neither;neutral
317;1201014247481720832;1;1.0;neither;positive
318;1201076522318217216;4;0.0;neither;positive
319;1205090764595900416;1;1.0;offensive_language;positive
320;1205098822713696256;2;1.0;offensive_language;positive
321;1204572320670482432;1;1.0;offensive_language;negative
322;1203630385097314306;4;1.0;neither;positive
323;1204536268559962113;1;1.0;neither;positive
324;1203070322888495104;1;1.0;neither;positive
325;1203438805195382786;1;0.0;neither;negative
326;1203418786054828032;2;0.0;neither;negative
327;1204487951662620675;1;0.0;neither;neutral
328;1204763527963119618;1;1.0;offensive_language;positive
329;1202824573198241792;1;0.0;neither;negative
330;1203794554866077698;1;1.0;neither;positive
331;1201039488224546818;1;1.0;neither;positive
332;1204017593478254592;1;1.0;neither;positive
333;1204108564253556736;2;1.0;offensive_language;neutral
334;1200970594369490944;1;0.0;neither;neutral
335;1202916054604931072;2;1.0;offensive_language;neutral
336;1200942072007512064;2;1.0;neither;positive
337;1205397755503562755;2;1.0;neither;positive
338;1200981308614356992;2;1.0;neither;positive
339;1204732729297973248;3;1.0;offensive_language;positive
340;1204757444573966336;1;1.0;neither;positive
341;1202526919281008640;1;-1.0;neither;positive
342;1203562314600857600;1;1.0;neither;neutral
343;1203311025073860608;1;1.0;offensive_language;neutral
344;1204405168365883395;2;1.0;hate_speech;negative
345;1201496798289899520;2;1.0;neither;negative
346;1201461757639827458;1;1.0;neither;positive
347;1203957280795975680;1;1.0;offensive_language;positive
348;1203204731260129281;2;-1.0;neither;negative
349;1202630997667274752;1;1.0;neither;positive
350;1205160071887343616;4;1.0;neither;positive
351;1202595488438071296;2;1.0;neither;positive
352;1204042573746184193;1;1.0;neither;positive
353;1204950904761274368;1;1.0;neither;positive
354;1202716852415283202;2;1.0;neither;positive
355;1200935526687133696;3;1.0;neither;neutral
356;1203508743712862209;5;1.0;neither;negative
357;1205404301733978114;1;1.0;neither;negative
358;1204790421903286274;5;1.0;offensive_language;positive
359;1201046650455810048;2;1.0;offensive_language;positive
360;1205085874628616192;1;0.0;offensive_language;negative
361;1203807866404012038;3;1.0;offensive_language;negative
362;1203710236995072005;1;0.0;offensive_language;positive
363;1204713031785156613;2;1.0;neither;negative
364;1201001584894840833;1;-1.0;neither;negative
365;1200967405272330240;2;0.0;neither;negative
366;1203436179124838401;2;1.0;neither;positive
367;1205009385145024512;2;1.0;offensive_language;positive
368;1204466056116477952;2;1.0;neither;positive
369;1205500975064109056;1;1.0;neither;positive
370;1202711088913141762;1;1.0;offensive_language;negative
371;1205154297178144768;1;-1.0;neither;negative
372;1201065217037389825;1;1.0;neither;positive
373;1205552455997517825;1;1.0;neither;positive
374;1204412680871636993;1;-1.0;offensive_language;negative
375;1204749238711664640;2;1.0;neither;positive
376;1204846617947328517;1;1.0;offensive_language;neutral
377;1202486960474017792;1;1.0;neither;positive
378;1200987965348077570;2;0.0;neither;negative
379;1204404088307408897;1;1.0;neither;positive
380;1203650098959441920;3;1.0;offensive_language;neutral
381;1204057787254239233;1;1.0;neither;negative
382;1205425249216413696;2;1.0;offensive_language;positive
383;1201893759635656705;2;1.0;neither;positive
384;1204744226732331008;1;-1.0;neither;negative
385;1205163615164207105;1;0.0;neither;positive
386;1201048607589142528;1;1.0;neither;positive
387;1200985066479841280;1;1.0;neither;negative
388;1203135459074822144;1;1.0;neither;negative
389;1205093154388660225;2;1.0;neither;negative
390;1201854231835230209;1;1.0;offensive_language;positive
391;1201036543886012421;1;1.0;offensive_language;positive
392;1203411857991536641;1;-1.0;neither;negative
393;1205224486825582592;2;1.0;neither;positive
394;1204327362352910336;5;1.0;offensive_language;negative
395;1200929288612134914;1;1.0;neither;positive
396;1204967744887648256;1;1.0;neither;negative
397;1204374465351733248;4;1.0;neither;negative
398;1205628486968336384;2;0.0;offensive_language;negative
399;1203326072634429443;1;-1.0;offensive_language;negative
400;1201044522291081216;2;1.0;neither;positive
401;1205020966713212928;3;1.0;neither;positive
402;1203066829587013632;5;1.0;offensive_language;negative
403;1200995135435132929;1;1.0;neither;negative
404;1203120380019236864;2;-1.0;neither;negative
405;1204098727511756802;2;1.0;offensive_language;positive
406;1204309778673082368;2;1.0;neither;negative
407;1204460668339933184;2;1.0;neither;neutral
408;1203068196238090240;1;1.0;neither;positive
409;1205173215632461830;1;1.0;neither;positive
410;1204351156895584256;2;1.0;neither;positive
411;1204575304615944192;3;1.0;neither;neutral
412;1205170251383619585;1;-1.0;offensive_language;negative
413;1204434454304952320;1;1.0;neither;positive
414;1201070079087173633;5;1.0;neither;neutral
415;1202215282665766912;2;1.0;offensive_language;negative
416;1204780067106304000;2;1.0;neither;negative
417;1205110395914076160;4;1.0;offensive_language;negative
418;1204078552351748101;1;1.0;offensive_language;negative
419;1204692224203804672;1;0.0;neither;positive
420;1201027063093878785;5;1.0;neither;negative
421;1204006409316077569;5;-1.0;offensive_language;negative
422;1201515482261667841;1;1.0;neither;positive
423;1201469192693862401;1;-1.0;neither;negative
424;1205517124820709376;1;1.0;neither;negative
425;1201221292147531777;1;1.0;offensive_language;positive
426;1205027319968075776;2;1.0;neither;positive
427;1202729977805975559;2;0.0;neither;negative
428;1203047221442285569;1;0.0;neither;positive
429;1203033407661527041;2;1.0;neither;positive
430;1203611851117998080;1;1.0;neither;positive
431;1204883182769672192;5;1.0;neither;neutral
432;1202891864401174528;2;1.0;offensive_language;negative
433;1204785678539608065;2;-1.0;neither;neutral
434;1202953785817088007;3;1.0;neither;positive
435;1200952626118111232;2;1.0;offensive_language;neutral
436;1202484497121456130;1;1.0;neither;positive
437;1204085754986549255;2;-1.0;neither;negative
438;1203352117706153984;1;1.0;neither;positive
439;1204850878395469825;2;1.0;neither;positive
440;1204923732676030464;1;-1.0;offensive_language;positive
441;1204301417449701376;2;1.0;offensive_language;negative
442;1201069583903449088;2;1.0;neither;positive
443;1203059293479673857;1;1.0;neither;positive
444;1202186849684316160;1;1.0;neither;positive
445;1202991680338743296;1;1.0;neither;negative
446;1201055297093226497;2;1.0;neither;negative
447;1204262771728232449;1;1.0;neither;positive
448;1203032399359037440;1;-1.0;offensive_language;negative
449;1204330457011085314;4;1.0;offensive_language;positive
450;1203023667321540610;1;-1.0;offensive_language;positive
451;1204211161782214656;1;-1.0;offensive_language;positive
452;1205089749599444992;2;1.0;neither;neutral
453;1203508245635178496;3;1.0;neither;neutral
454;1200955681966362624;2;1.0;neither;positive
455;1205247018567917569;3;1.0;neither;negative
456;1204281050001600512;2;1.0;offensive_language;positive
457;1204766659162103818;1;1.0;neither;neutral
458;1203884570191564801;1;1.0;offensive_language;negative
459;1205548440798846976;2;1.0;neither;negative
460;1204803475336417286;2;-1.0;offensive_language;negative
461;1202182017682739200;1;1.0;neither;negative
462;1204007557473472512;2;1.0;neither;positive
463;1202627139083870208;1;1.0;neither;positive
464;1202964833739714561;1;1.0;neither;positive
465;1202387854472540161;1;1.0;neither;positive
466;1205292683335491585;2;1.0;neither;negative
467;1200937100926947329;2;1.0;offensive_language;negative
468;1202981169693745152;1;-1.0;offensive_language;positive
469;1201071916452208641;3;1.0;offensive_language;negative
470;1203658460149297153;2;1.0;neither;neutral
471;1202002208306483201;1;1.0;neither;positive
472;1205156214964928512;2;-1.0;offensive_language;positive
473;1200950650949029888;4;1.0;offensive_language;negative
474;1203670723123990528;1;1.0;offensive_language;negative
475;1205147691036168192;1;1.0;offensive_language;negative
476;1201026420568285184;1;1.0;offensive_language;neutral
477;1201386982745759745;1;1.0;offensive_language;neutral
478;1202775434250739712;1;1.0;neither;positive
479;1201482733194797057;2;1.0;neither;negative
480;1201078368973787136;4;1.0;neither;neutral
481;1201023757847891968;5;-1.0;offensive_language;negative
482;1204183793814380545;1;-1.0;offensive_language;negative
483;1202190007592800256;2;1.0;offensive_language;positive
484;1204488936892116992;1;1.0;neither;negative
485;1204850447380615169;1;1.0;offensive_language;positive
486;1203299980217389056;2;1.0;neither;positive
487;1204812864306978817;2;-1.0;neither;negative
488;1202514519626539008;1;1.0;neither;positive
489;1205169022599409665;2;1.0;neither;negative
490;1202950812672020480;1;1.0;neither;positive
491;1201059131009880064;1;1.0;neither;negative
492;1202445756210147329;5;1.0;offensive_language;negative
493;1203269095816224768;2;1.0;neither;negative
494;1204334387841490945;2;1.0;neither;negative
495;1203841255811117056;5;1.0;neither;negative
496;1200928256234536960;2;1.0;neither;negative
497;1204391958531072000;2;1.0;neither;negative
498;1200933208067641345;1;1.0;offensive_language;negative
499;1204745400998981633;5;1.0;neither;negative
500;1205556866442506240;2;1.0;neither;negative
501;1202437428428132352;1;0.0;offensive_language;positive
502;1201052660595511297;1;1.0;neither;positive
503;1201026534733053952;2;1.0;neither;negative
504;1205525881118019585;1;0.0;neither;negative
505;1201035599127298048;1;1.0;neither;positive
506;1201995106854637568;1;0.0;neither;neutral
507;1201068681855418368;2;1.0;offensive_language;positive
508;1203989415900532736;5;1.0;offensive_language;negative
509;1201008949656317958;1;1.0;neither;positive
510;1204335386287366144;2;1.0;neither;positive
511;1204461431237812224;3;1.0;neither;negative
512;1204734257874132992;1;0.0;neither;negative
513;1202711883930845184;1;1.0;offensive_language;positive
514;1204407557038788608;4;1.0;neither;positive
515;1204162062001287170;1;1.0;neither;positive
516;1202685890230964240;1;1.0;offensive_language;negative
517;1204897101710151680;1;1.0;offensive_language;negative
518;1202900587056119808;1;1.0;neither;positive
519;1201109061762244608;1;-1.0;neither;negative
520;1204498649998405633;1;1.0;neither;negative
521;1204867534274433024;2;1.0;offensive_language;positive
522;1205501869893783552;1;1.0;neither;positive
523;1204052132611141633;2;0.0;offensive_language;positive
524;1202724218162466816;1;1.0;neither;negative
525;1204061164055007234;1;-1.0;neither;negative
526;1204980517835198465;2;1.0;neither;negative
527;1203948375873339393;2;1.0;neither;positive
528;1202928633817567232;4;1.0;neither;positive
529;1202721074154102784;1;1.0;offensive_language;positive
530;1202517816441819136;2;1.0;neither;positive
531;1203058787126407168;1;-1.0;offensive_language;negative
532;1202029190373097472;2;-1.0;offensive_language;negative
533;1204690037608210432;2;1.0;neither;positive
534;1200965886565220352;2;0.0;neither;negative
535;1201512695700295681;1;-1.0;offensive_language;negative
536;1204486235940696066;1;1.0;neither;positive
537;1203024181186531328;1;1.0;offensive_language;negative
538;1201885644143955968;1;1.0;neither;positive
539;1204873437577007104;1;1.0;neither;positive
540;1205164869793861632;2;1.0;neither;positive
541;1205195186311221250;2;1.0;neither;positive
542;1200942841524105216;5;1.0;neither;negative
543;1204388226435338240;1;1.0;neither;neutral
544;1202563510238101505;4;1.0;neither;positive
545;1202867130481299458;4;1.0;neither;neutral
546;1201873191372763138;1;1.0;neither;positive
547;1203613073849716737;1;1.0;neither;positive
548;1201052420807237632;1;1.0;neither;positive
549;1203384505320583168;2;-1.0;offensive_language;negative
550;1201162669312692225;1;1.0;neither;negative
551;1205132166033752067;1;-1.0;offensive_language;negative
552;1204495668141797378;1;1.0;offensive_language;negative
553;1205136662415757318;1;1.0;offensive_language;neutral
554;1202682066447585282;2;1.0;neither;negative
555;1203307824652177408;2;1.0;neither;negative
556;1202334761986871296;5;1.0;neither;positive
557;1201544810466693127;3;1.0;neither;positive
558;1204862963422760961;1;0.0;neither;positive
559;1200996894354231296;1;-1.0;neither;negative
560;1203792712073244672;1;1.0;neither;neutral
561;1205245414389297152;1;1.0;offensive_language;negative
562;1203983702247845889;2;-1.0;neither;negative
563;1204400683069431808;4;1.0;neither;positive
564;1201001586610163712;2;1.0;neither;positive
565;1204258132714803200;1;1.0;neither;positive
566;1203918982496997378;5;1.0;offensive_language;negative
567;1201035286894931968;1;1.0;neither;positive
568;1205207939843268611;2;1.0;neither;positive
569;1204276282449633281;1;1.0;neither;positive
570;1200937103862960128;3;1.0;neither;negative
571;1205526044922589184;1;1.0;neither;positive
572;1204085052583362561;1;1.0;offensive_language;negative
573;1205268947148271617;2;1.0;neither;negative
574;1201010564887134208;2;1.0;offensive_language;positive
575;1205123417697128448;2;1.0;hate_speech;negative
576;1203058458473439232;1;1.0;neither;positive
577;1204839060856020998;1;1.0;neither;positive
578;1201351282797101057;1;-1.0;neither;neutral
579;1204190327860420608;2;1.0;neither;positive
580;1204309069692985345;2;1.0;neither;neutral
581;1205301548420681728;1;0.0;offensive_language;positive
582;1201521851513626624;1;1.0;offensive_language;negative
583;1205366859660431365;1;1.0;neither;positive
584;1201029098316926976;1;1.0;offensive_language;positive
585;1205123937274777603;1;1.0;neither;negative
586;1204849763075518464;3;1.0;neither;positive
587;1202048202108784640;1;1.0;offensive_language;positive
588;1204172072919789568;5;1.0;neither;negative
589;1201052846667522054;1;1.0;neither;positive
590;1200937102365646848;3;1.0;offensive_language;negative
591;1204775570309033985;1;1.0;hate_speech;positive
592;1204804363807535104;1;0.0;hate_speech;negative
593;1203356532533952513;1;0.0;neither;positive
594;1204760190660358144;1;1.0;neither;positive
595;1200943908907364352;4;1.0;neither;negative
596;1203346382041600001;1;1.0;neither;negative
597;1202948971318185984;1;1.0;neither;negative
598;1203455347219824640;2;1.0;neither;positive
